Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified
Influential factors for intention to visit an adversarial nation: increasing robustness and validity of findings,Stepchenkova S.; Kirilenko A.P.; Shichkova E.,2019,10.1108/IJTC-11-2018-0085,"Purpose: The purpose of this paper is to investigate the drivers of visitation intention, including demographic, psychographic (animosity, national attachment and consumer ethnocentrism) and image factors on tourist decision-making in a situation of bilateral conflict between the destination country and the source country, that is, the USA and Russia, respectively. Design/methodology/approach: The data were collected at two different points in time from two different samples but analyzed with the same research question in mind. To increase the robustness and validity of findings, three analytical approaches from the repertoire of statistics and data mining techniques such as hierarchical linear regression, logistic regression and decision tree analysis were applied to two independent samples of tourists with different demographic profiles. This multiple methods research employs a complementary design, as methods used have equal importance and are applied concurrently. Findings: The paper obtained generally consistent results across methods and samples: general animosity, destination image and country image are the most influential factors in the tourists’ decision-making to visit a destination country with which their own country has strained bilateral relations. Practical implications: Destination image is highly important in all analyses and is more favorable than country image. It indicates some degree of separation of the two images in the respondents’ mind, which indicates that marketing a country as a tourist destination on a not-so-friendly tourism market may still be effective. Results also tentatively indicate that for young adults, patriotic feelings matter more in their decision-making, while for more mature tourists, ethnocentric tendencies play a more important role. Originality/value: The paper examines the influence of general and situational animosity, national attachment, and consumer ethnocentrism on visitation intentions in a situation of conflict between the two nations and, thus, expands the empirical evidence accumulated to date on tourist behavior in conflict. The paper acts on the premise that if a connection between any two variables truly exists, it should be able to withstand variations in samples, timing of data collection and measurement, thus, leading to more robust findings. © 2019, International Tourism Studies Association.",Animosity; Consumer ethnocentrism; Decision tree; Multiple methods research; National attachment,Emerald Group Holdings Ltd.,scopus-data mining,8,Feeling AI,"['animosity', 'national attachment', 'consumer ethnocentrism', 'destination image', 'country image', 'patriotic feelings', 'ethnocentric tendencies']","The abstract discusses how emotional and psychological factors such as animosity, national attachment, and consumer ethnocentrism influence tourists' decision-making in the context of bilateral conflict. The focus is on understanding customer emotions and perceptions related to travel decisions, which aligns with the objectives of Feeling AI. The importance of destination image and the emotional responses of different demographic groups further emphasize the need to understand and address customer emotional needs.",70%,10%,20%,0%,0%
Comparison and positioning of NGOs aimed at children from the perspective of social marketing on Twitter,Galiano-Coronil A.; Alcedo-Velázquez M.Y.; Blanco-Moreno S.; Tobar Pesántez L.B.,2024,10.1057/s41599-024-02611-7,"The role of Non-Governmental Organizations (NGOs) in disseminating and protecting children’s rights is fundamental by increasing society’s knowledge about the reality that children face, thus mobilizing citizen attention. In this paper, we present an original study on social media data, specifically Twitter, to analyze childhood NGOs, evaluating the success of their content (through the likes obtained by publications) from the perspective of social marketing and prospective theory. In addition, it examines the positioning of organizations concerning the types of messages identified. The methodological approach is based on data mining, content analysis, and simple correspondence analysis through which the typology of the messages and positioning map are determined. The results suggest that these organizations generate predictable communication by publishing on specific topics and only increasing the number of tweets in emergencies when they are requiring urgent help. Some tweets show an immediate risk to which children are exposed if they do not receive help, which aligns with one of the premises of the Prospect Theory. Furthermore, a more significant number of posts does not necessarily imply a greater number of likes. Three types of messages have been determined: informative tweets that point out risks (type 1), impartial dialogue tweets (type 2), and action tweets that highlight benefits (type 3), confirmed through the Kruskal-Wallis test to have a relationship with impact. The positioning map shows that type 3 messages, which World Vision Spain opts for, are the most popular, followed by type 1, which Educo leans towards. Finally, there are those of type 2, with which UNICEF Spain is associated. The main implication is that our analysis validates the use of social media such as Twitter to analyze NGOs and proposes these social media platforms to be an important tool in mobilizing the community. In addition, this study offers parameters when constructing the messages for use in social marketing campaigns according to decisions that involve risk or certainty. © The Author(s) 2024.",,Springer Nature,scopus-data mining,1,Feeling AI,"[""children's rights"", 'social marketing', 'emotional needs', 'communication', 'community mobilization', 'message types', 'risks', 'impact']","The abstract emphasizes the analysis of social media data to understand the communication strategies of NGOs focused on children's rights. It highlights how different types of messages (informative, impartial, action-oriented) resonate with audiences, suggesting a focus on emotional engagement and community mobilization. This aligns with the objectives of Feeling AI, which aims to understand and meet customer emotional needs and develop positioning that resonates with customers. The mention of Prospect Theory also points towards understanding risk and emotional responses in communication.",70%,10%,20%,0%,0%
Using data mining to integrate recency-frequency-monetary value analysis and credit scoring methods for bank customer behaviour analysis,Khanbabaei M.; Parsi P.; Farhadi N.,2023,10.1504/IJDMMM.2023.134598,"Banks apply credit scoring to identify customers with low credit risk. Additionally, recency-frequency-monetary value (RFM) analysis method is suitable for identifying valuable bank customers. Data mining techniques can be used to discover useful patterns hidden in customer data. However, in previous research, data mining has been used separately in both credit scoring and RFM approaches. To evaluate customer behaviour, banks must employ credit scoring and RFM analysis method, simultaneously. This study proposes a framework for using data mining techniques to integrate credit scoring and RFM methods in the field of banking. In this framework, k-means had better performance than Kohonen network and DBSCAN to identify and cluster valuable customers based on the RFM and credit scoring indices. Moreover, the C5 decision tree, BN, and SVM with 94.10%, 92.71%, and 92.36% accuracy had better performance to classify valuable bank customers based on RFM and credit scoring indices. Copyright © 2023 Inderscience Enterprises Ltd.",banking; credit scoring; data mining; marketing; RFM method,Inderscience Publishers,scopus-data mining,0,Out of Scope,"['credit scoring', 'RFM analysis', 'data mining', 'customer behavior', 'clustering', 'classification']","The abstract discusses the application of data mining techniques in banking for credit scoring and RFM analysis to identify valuable customers. Although it involves analysis of customer behavior, it does not directly relate to marketing strategies or emotional understanding of customers, and instead focuses on financial customer assessment. Therefore, it falls under 'Out of Scope' as it pertains more to financial services rather than marketing.",0%,0%,0%,100%,0%
What drives a donor? A machine learning-based approach for predicting responses of nonprofit direct marketing campaigns,Cacciarelli D.; Boresta M.,2022,10.1002/nvsm.1724,"Direct marketing campaigns are one of the main fundraising sources for nonprofit organizations and their effectiveness is crucial for the sustainability of the organizations. The response rate of these campaigns is the result of the complex interaction between several factors, such as the theme of the campaign, the month in which the campaign is launched, the history of past donations from the potential donor, as well as several other variables. This work, applied on relevant data gathered from the World Wide Fund for Nature Italian marketing department, undertakes different data mining approaches in order to predict future donors and non-donors, thus allowing for optimization in the target selection for future campaigns, reducing its overall costs. The main challenge of this research is the presence of thoroughly imbalanced classes, given the low percentage of responses per total items sent. Different techniques that tackle this problem have been applied. Their effectiveness in avoiding a biased classification, which is normally tilted in favor of the most populated class, will be highlighted. Finally, this work shows and compares the classification results obtained with the combination of sampling techniques and Decision Trees, ensemble methods, and Artificial Neural Networks. The testing approach follows a walk-forward validation procedure, which simulates a production environment and reveals the ability to accurately classify each future campaign. © 2021 John Wiley & Sons Ltd.",direct marketing; machine learning; target selection,John Wiley and Sons Inc,scopus-data mining,8,Thinking AI,"['data mining', 'predict future donors', 'target selection', 'classification results', 'market analysis']","The abstract discusses the use of data mining techniques to predict donor behavior and optimize target selection for marketing campaigns. This aligns closely with the 'Thinking AI' category, which focuses on market analysis and targeting. The primary goal is to analyze past donation data and other factors to improve the effectiveness of direct marketing campaigns, which is a strategic analysis approach. The mention of decision trees and neural networks further emphasizes a focus on predictive analytics, which is characteristic of Thinking AI.",0%,20%,80%,0%,0%
Development of the system to integrate and generate content considering the cryptocurrent needs of users,Lytvyn V.; Vysotska V.; Kuchkovskiy V.; Bobyk I.; Malanchuk O.; Ryshkovets Y.; Pelekh I.; Brodyak O.; Bobrivetc V.; Panasyuk V.,2019,10.15587/1729-4061.2019.154709,"We have investigated processes of analysis, integration, and content generation, taking into consideration the needs of the user in cryptocurrency. By using the developed formal model and the performed critical analysis of methods and technologies for predicting the exchange rate of cryptocurrency, we have built a general architecture of the content processing system that acquires data from different cryptocurrency Internet stock exchanges. General functional requirements to the intelligent cryptocurrency system that target the Internet users have been stated. We have investigated methods, models, and tools to improve the effective support for developing structural elements in the model of a decision support system that manages content according to the user's needs. general architectures of the backend and frontend parts of an intelligent cryptocurrency system have been devised. We also developed software for the system of integration and generation of content considering the cryptocurrency needs of users. An analysis of results of experimental verification of the proposed method for content integration and generation taking into consideration the cryptocurrency needs of users has been performed. A special feature of the system is that it analyzes information from social media and builds a forecast of currency rates based on the acquired information. A given system makes it possible to guess the trend in an exchange rate fluctuation. Conferences of a particular cryptocurrency, new implementations, government decrees from different countries, affect a trend as well, so it too must be taken into consideration. In order to account for most cases, it is necessary to constantly accumulate information on the subject and to assign it to Tables in a database. A given process takes place using a specialized software bot that collects and indexes information. The system is characterized by the following features that favorably distinguish it from analogs: the speed of page generation; the presence of SSL certificate and TLS encryption; content of better quality as it is updated every minute; there are no inactive sections of the service; the mobile web-site layout does not copy content at subdomain; automated checks against e-mail spam messages on the exchange rate. The focus of the system is on the frequency of updates at the speed of data aggregation from the Internet stock exchanges and social networks. © 2019, V. Lytvyn, V. Vysotska, V. Kuchkovskiy, I. Bobyk, O. Malanchuk, Y. Ryshkovets, I. Pelekh, O. Brodyak, V. Bobrivetc, V. Panasyuk.; Дослiдженi процеси аналiзу, iнтеграцiї та формування контенту з врахуванням криптова- лютних потреб користувача. Використовуючи розроблену формальну модель та проведений критичний аналiз методiв i технологiй прогно- зу курсу криптовалюти, побудовано загальну архiтектуру системи опрацювання контенту з рiзних криптовалютних Iнтернет-бiрж. Також сформульванi загальнi функцiо- нальнi вимоги до iнтелектуальної криптова- лютної системи, орiєнтованої на Iнтернет- користувачiв. Дослiджено методи, моделi та iнструменти для удосконалення ефективнi- шої пiдтримки розроблення структурних еле- ментiв моделi системи пiдтримки прийняття рiшень з керування контентом згiдно потреб користувача. Розроблено загальнi архiтек- тури backend та fronted частин iнтелекту- альної криптовалютної системи. Також роз- роблено програмне забезпечення системи iнтеграцiї та формування контенту з вра- хуванням криптовалютних потреб корис- тувачiв. Проведений аналiз результатiв екс- периментальної апробацiї запропонованого методу iнтеграцiї та формування контен- ту з врахуванням криптовалютних потреб користувачiв. Особливiсть системи полягає у аналiзi iнформацiї з соцiальних медiа та створення прогнозу курсiв на основi зiбраної iнформацiї. Дана система дозволяє вгадати тренд напрямку курсiв. Конференцiї певної криптовалюти, новi впровадження, держав- нi укази рiзних країн задають теж напрям тренду, тому це теж треба враховувати. Для того щоб врахувати бiльшiсть випад- кiв, потрiбно постiйно накопичувати iнфор- мацiю по темi та сортувати по таблицях в базi даних. Даний процес вiдбувається за допо- могою спецiальної програми бота, яка зби- рає та iндексує iнформацiю. Одними з кращих можливостей системи, порiвняно з аналога- ми, є швидкiсть генерацiї сторiнки; присут- нiсть SSL сертифiката та шифрування TLS; бiльш якiснiший контент, так як вiн оновлю- ється щохвилини; вiдсутнi неактивнi роздiли сервiсу; мобiльна верстка сайту без дубляжу контенту на пiддоменi; автоперевiрки проти засмiчення пошти повiдомленнями про курс. Основний акцент системи робитися на час- тотi оновлення на швидкостi агрегацiї даних з Iнтернет-бiрж та соцiальних мереж. © 2019, V. Lytvyn, V. Vysotska, V. Kuchkovskiy, I. Bobyk, O. Malanchuk, Y. Ryshkovets, I. Pelekh, O. Brodyak, V. Bobrivetc, V. Panasyuk.",Bitcoin; Cryptocurrency; Data mining; Data- Mining; Data-Mining; Forecasting; Internet marketing; Internet stock exchange; Iнтелектуальний аналiз даних; Iнтернет-бiржа; Iнтернет-маркетинг; Machine Learning; Machine Learning; Token; Web Mining; Web-Mining; Бiткоїн; Криптовалюта; Прогнозуван- ня; Токен,Technology Center,scopus-data mining,29,Out of Scope,"['cryptocurrency', 'exchange rate prediction', 'data integration', 'social media analysis', 'content generation']","The abstract focuses on the development of a system for analyzing and predicting cryptocurrency exchange rates, utilizing methods and technologies to gather data from various sources. This process does not relate to marketing-specific applications such as understanding customer emotions, targeting, or personalization, which are typical of marketing AI. Instead, it aligns more closely with financial data prediction and analysis, therefore it is classified as 'Out of Scope'.",0%,0%,0%,100%,0%
"Dropout situation of business computer students, University of Phayao",Nuankaew P.,2019,10.3991/ijet.v14i19.11177,"This paper aims to study the problem of the dropout situation of students in the business computer program at the University of Phayao. It consists of three sub-goals: (1) The first objective is to identify factors related to the dropout of students in the business computer program at the University of Phayao. (2) The second objective is to study the relationship between factors related to drop-out of students in the business computer program at the University of Phayao. (3) The last objective is to test the relationship model of factors related to the dropout of students in the business computer program at the University of Phayao. The sample group was 389 students from Business Computer Department at the School of Information and Communication Technology, University of Phayao in the academic year 2012-2019. The tools used in the research are statistical data analysis and machine learning. It consists of percentages, decision tree algorithms, cross-validation methods, and the confusion matrix performance. The results showed that the dropout rate of learners in business computer program tended to increase even though the number of new students decreased. In addition, it was found that factors affecting the dropout consisted of six courses: 221110 Fundamental Information Technology, 221120 Introduction to Programming, 001103 Thai Language Skills, 128221 Principles of Marketing, 005171 Life and Health, and 122130 Principles of Management. © 2019, iJET.",Educational data mining; Learning model; Student dropout prediction; Student model,Kassel University Press GmbH,scopus-data mining,27,Out of Scope,[],"The abstract discusses student dropout rates and factors influencing them specifically within an educational context. While it utilizes statistical analysis and machine learning, the application is not related to marketing but rather focuses on academic performance and student retention. Therefore, it does not fit into any of the defined marketing-related AI categories.",0%,0%,0%,100%,0%
An expert system to improve the functioning of the clothing industry: A development methodology,Santiago-Santiago K.; Laureano-Cruces A.L.; Antuñano-Barranco J.M.A.; Domínguez-Pérez O.; Sarmiento-Bustos E.,2015,10.1108/IJCST-08-2013-0084,"Purpose – Today the garment industry in México is vulnerable to complex problems. This type of industry is subject to influences which over time, modify the perceptions of those involved in the design process due to the fact that they face problems that have both objective and subjective characteristics. In this study the authors used interviews, direct observation methodology, and theoretical argumentation to obtain the experts knowledge as they describe the problems that arise in the process of garment design for Mexican markets. The purpose of this paper is to generate a methodology so that the expert in this field will become highly specialized, resulting in heightened abilities and reinforcing them with the methodology of soft systems and the design management model (DMM). The results suggest that they are applicable to any area of design. Design/methodology/approach – The success or failure of expert system (ES) depends directly on the acquisition of knowledge (Méndez-Gurrola, 2007, 2012), to accomplish that, three large groups of techniques are used to extract that knowledge: manual, semiautomatic, and automatic. Within the group of manual techniques, interviews, protocol analysis, questionnaires, direct on site observation, and the extraction of closed curves are emphasized. This technique is chosen for its ability to extract the particular type of knowledge being sought. The knowledge of the dominion expert in the design process applied to the clothing industry in México is based on processes and at the same time is episodic, meaning that part of the procedure is automated and each step of the process triggers the next. This knowledge is also based on experience which is of an autobiographical nature. Findings – First, when one simulates human behavior, the hardest thing is to choose a knowledge representation that conforms as closely as possible to its emulation. According to, choosing a given type of knowledge representation is an art that is discovered little by little. And this is true as one designs and assembles a representation, when one realizes how far the authors are from imitating the design of the human brain processes, and discovers or invents methodologies to achieve it, combining the results of investigations into knowledge representation, cognitive psychology, and cognitive engineering. Second, solving any complex situation in the design process function of the clothing industry is no easy task. It requires plenty of experience in the manufacturing process. One needs the ability to identify the signals emitted by complex situations, and being able to stop them in time before they create irreversible damage. By merging the soft system methodology (SSM) and DMM with the experts’ abilities and knowledge (the result being the EXITUS model (EM)), makes knowledge modeling possible. A problem cannot be solved if it is unknown, if the problem persists and grows it becomes more complex. By describing a problem, based on: its origin, its relationship, and its effects, it also confers the ability to solve it. Thereby, an SBC with the characteristics presented in this paper, not only improves the design process function as a whole, it also contributes to achieving corporate success. Finally, it influences directly on: a quality product; market positioning; and good economic results. First, the SBC-EXITUS was tested and endorsed by expert management designers. When a designer identifies a complex problem using the SBC-EXITUS system, he is capable of verifying its existence with facts and real life situations. This enables quicker decision making decisions, which saves time and money, due to the fact that a non-desirable state of affairs may be contemplated in advance. Fourth, in this project an SBC named SBC-EXITUS has been implemented using the SSM and the DMM, with the purpose of detecting possible problems in the design process of the clothing industry. Its implementation is developed by the use of production rules. Fifth, utilizing the methodology and the production rules like knowledge representation thnique, make possible to acquire dominion knowledge in complex problems as in the study case clothing industry in México. This approach is also applicable to other areas of design. Practical implications – Utilizing the methodology and the production rules like knowledge representation technique, make possible to acquire dominion knowledge in complex problems as in the study case clothing industry in México. This approach is also applicable to the garment industry in the international context, as well as to other areas of design such as architecture, furniture, and others. The EM is a generic methodology. In this research and case, it has been applied in a design process within the garment industry, specifically in a case in Mexico. Yet this does not limit its use in a different context and problem situation. Having in mind the difference between countries in aspects such as sponsoring, technology, worker skills, marketing, etc. the tools for diagnostics in the Appendix 2, may be adapted to each context with enriched questions directed to specific aspects involved. Every new application allows facts and production rules that make the use of ES more efficient. Social implications – The ES-EXITUS was tested and endorsed by expert management designers. When a designer identifies a complex problem using the ES-EXITUS, he is capable of verifying its existence with facts and real life situations. This enables quicker decision making decisions, which saves time and money, due to the fact that a non-desirable state of affairs may be contemplated in advance. Originality/value – Solving any complex situation in the design process function of the clothing industry is no easy task. It requires plenty of experience in the manufacturing process. One needs the ability to identify the signals emitted by complex situations, and being able to stop them in time before they create irreversible damage. By merging the SSM and DMM with the experts’ abilities and knowledge (the result being the EM), makes knowledge modeling possible. A problem cannot be solved if it is unknown, if the problem persists and grows it becomes more complex. By describing a problem, based on: its origin, its relationship and its effects, it also confers the ability to solve it. Thereby, an SBC with the characteristics presented in this paper, not only improves the design process function as a whole, it also contributes to achieving corporate success. Finally, it influences directly on a quality product, market positioning, and good economic results. © Emerald Group Publishing Limited.",Clothing industry; Expert systems; Knowledge representation; Production rules,Emerald Group Holdings Ltd.,scopus-data mining,4,Thinking AI,"['expert knowledge', 'design process', 'market positioning', 'decision making', 'problem solving', 'methodology']","The abstract discusses a methodology for addressing complex problems in the garment design process in Mexico, emphasizing expert knowledge acquisition, problem identification, and strategic decision-making. These elements align closely with the goals of Thinking AI, particularly in market analysis and targeting. The findings suggest that the developed system (EXITUS) aids in understanding market dynamics and improves decision-making, which corresponds to the applications of Thinking AI in identifying competitive advantages and recommending target strategies.",10%,15%,70%,0%,5%
The Analysis of Intelligent Marketing Platform in High-Tech Products by Data Mining Algorithm,Lee C.-C.; Tseng H.-C.; Liu C.-C.; Chou H.-J.,2022,10.37394/23207.2022.19.50,"-Under the background of the rapid development in internet technology, the whole marketing is developing towards the direction of intelligence and high technology. The novel social network based on internet technology occupies an important part of the marketing, and has also been widely concerned by the academic community, because the internet makes information data transparent, and the mining, analysis and algorithm research of a large amount of data can provide decision support for marketing and intelligent marketing. Modern data mining analysis mode has become the main solution for data problems. With the development of network technology, business intelligence related to the marketing of high-tech products will become the key component of the future business system, which depends on the overall architecture of the cloud and plays a core role in the process of data analysis and mining. © 2022, World Scientific and Engineering Academy and Society. All rights reserved.",Cluster; Data mining algorithm; High-tech products; intelligent marketing platform; Machine learning,World Scientific and Engineering Academy and Society,scopus-data mining,0,Thinking AI,"['data mining', 'analysis', 'decision support', 'market analysis', 'business intelligence']","The abstract discusses the role of data mining and analysis in supporting marketing decisions and emphasizes the importance of business intelligence in high-tech product marketing. This aligns with the 'Thinking AI' category, which focuses on market analysis and using analytics to understand competitive advantages and targeting strategies.",0%,20%,80%,0%,0%
Materializing Multi Join Query Optimization for RDBMS using swarm intelligent approach,Al Saedi A.K.Z.; Ghazali R.; Deri M.M.,2015,,"In the era of Information Technology (IT), various professions are Multi Join Query Optimization (MJQO) in database management system (DBMS) such as Decision support system, Data warehouse, Data mining, banking system, Information retrieval (IR), marketing and more. The increase in database amount, number of tables, blocks in database and the size of query make MJQO appear. MJQO aimed to find optimal Query execution plan (QEP) in minimum query execution time. The objective of this study proposes optimal solution approach to solve MJQO problem, which is an NP hard problem. This study propose Swarm Intelligence (SI) as a solution of MJQO problem. Artificial Bee Colony Algorithm (ABC) is used to solve MJQO problem by simulates the foraging behavior of honey bees. Simulate shows the performance of Artificial Bee Colony Algorithm (ABC) and Particle Swarm Optimization (PSO) are compared to computational time and simulation result indicates that the bees algorithmcan solve MJQO problem in less amount of time , lower cost and more efficient than Particle Swarm Optimization (PSO). Using experiments to demonstrate the power of our approaches.",Artificial bee colony(ABC); Database management system; Multi Join Query Optimization; Particle Swarm Optimization (PSO); Query Execution Plan; Query execution time,Machine Intelligence Research (MIR) Labs,scopus-data mining,3,Out of Scope,"['Multi Join Query Optimization', 'database management', 'Artificial Bee Colony Algorithm', 'Particle Swarm Optimization']","The abstract discusses Multi Join Query Optimization (MJQO) in database systems, focusing on algorithms for optimizing query execution time, which is primarily a technical and computational problem not directly related to marketing applications. The content does not touch upon market analysis, customer understanding, or automation in a marketing context, thus falling outside the marketing domain.",0%,0%,0%,100%,0%
Differential game of product-service supply chain considering consumers’ reference effect and members’ reciprocity altruism under O2O mode; [O2O 模式下考虑消费者参考效应和成员互惠利他的 产品———服务供应链微分博弈],Deqing M.; Jinsong H.,2021,10.13587/j.cnki.jieem.2021.01.014,"The report “Accenture China Consumer Insight 2018 - New Consumption Power” published by FT Chinese Network and Accenture, a well-known international consulting company, has poined out one of the characteristics of new consumerism: experience is paramount. Consumers' demand for experiential shopping has led to the formation of a new sales pattern, and the O2O sales model emphasizing experiential marketing has become a hot topic of common concern in the business and academic circles. The formulation of product quality level and sales service level strategies by enterprises is often affected by both consumers’ behaviors and supply chain members’ behaviors: On the one hand, considering the influence of the difference between the reference level and the actual experience level on consumer demand, this paper incorporates both the reference quality effect of online consumers and the reference service effect on offline channels into goodwill dynamics and demand function of consumers. On the other hand, supply chain members often do not comply with the assumption of “economic man” in traditional economics when they interact with each other, While they often have a certain social preference - reciprocity altruism, that is, they not only consider their own benefits, but also pay attention to each other's benefits to a certain extent. For this reason, this paper regards the utilities maximization of reciprocity altruism as the objectives of supply chain members when making decisions. To sum up, considering the inherent dynamics of supply chain operation and consumers’ reference effects in the supply chain system under O2O mode which is composed of a dominated manufacturer and a retailer selling through both online and offline, the differential game models among decentralized, centralized and reciprocal altruistic decision-making pattern are constructed by using differential game theory, manufacturer's quality level strategy, retailer's dominant service level strategy, and supply chain's profits and utilities are obtains among three decision-making modes. Through comparison, we find that: 1) The reference effects of consumers cause the “anchoring psychology”, which leads to manufacturers' lowering quality level, retailers' lowering service level, and also damages the performance of the product-service supply chain. 2) Consumer's channel preference has an important impact on supply chain members' strategies and performance. Retailers should encourage consumers to purchase products online and use offline channel services as sales assistance measures to satisfy consumers' experience utility. 3) Members' reciprocal altruistic behavior as a positive social preference can obtain Pareto improvement in supply chain performance compared with decentralized decision-making model. and also result in additional social benefits; 4) If and only if both manufacturer and retailer have pure altruistic behavior preferences, i. e. the lowest return and the highest altruism, the total profit of supply chain can reach the situation of centralized decision-making. To this end, the management inspiration of this paper is: due to many management drawbacks of centralized decision-making, such as high management costs and difficulty in implementation, supply chain members should actively display the social preferences of mutual benefit and altruism, and deepen the vertical cooperation of supply chain on the basis of independent decision-making. On the one hand, manufacturer can improve product quality through product innovation, strictly control product quality to enhance brand goodwill, form quality identity and lay a good quality foundation for retailer sales links. On the other hand, retailer should undertake the sales link of supply chain to serve consumers' experience consumption: recommending personalized products to customers at lower cost through advanced technologies such as data mining, setting up 24-hour online customer service, solving customers' pre-sale doubts, reducing the adverse effects of reference service in online channel. While in offline channel, he can establish a reasonable membership system, take feedback promotion activities regularly and feed old customers to improve their retention rate and loyalty, even use word-of-mouth effect to attract new customers and tap new consumer market potential. Through the mutual benefits and altruism of manufacturer and retailer, the supply chain division of labor can be carried out to comprehensively improve the quality level and service capacity from the production end to the sales end, build brand goodwill, and promote win-win situation in all channels. © 2021. Journal of Industrial Engineering and Engineering Management. All Rights Reserved.",Differential game; O2o; Reciprocal altruism; Reference quality,Zhejiang University,scopus-data mining,5,Feeling AI,"['consumer experience', 'reciprocity altruism', 'customer service', 'emotional needs', 'personalized products', 'customer loyalty']","The abstract discusses the importance of consumer experience and emotional needs in the context of O2O sales models, highlighting how consumer preferences and relationships between supply chain members can impact strategies. It emphasizes understanding customer emotional needs and creating personalized experiences to enhance customer engagement, which aligns well with the objectives of Feeling AI. The focus on relational aspects, such as mutual benefits and altruism among supply chain members, further supports this classification.",60%,20%,20%,0%,0%
