Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified
Deploying artificial intelligence in services to AID vulnerable consumers,Hermann E.; Williams G.Y.; Puntoni S.,2024,10.1007/s11747-023-00986-8,"Despite offering substantial opportunities to tailor services to consumers’ wants and needs, artificial intelligence (AI) technologies often come with ethical and operational challenges. One salient instance of such challenges emerges when vulnerable consumers, consumers who temporarily or permanently lack resource access or control, are unknowingly discriminated against, or excluded from the marketplace. By integrating the literature on consumer vulnerability, AI for social good, and the calls for rethinking marketing for a better world, the current work builds a framework on how to leverage AI technologies to detect, better serve, and empower vulnerable consumers. Specifically, our AID framework advocates for designing AI technologies that make services more accessible, optimize customer experiences and journeys interactively, and to dynamically improve consumer decision-making. Adopting a multi-stakeholder perspective, we also discuss the respective implications for researchers, managers, consumers, and public policy makers. © The Author(s) 2023.",Artificial intelligence; Ethics; Justice; Service; Vulnerable consumers,Springer,scopus-ai,11,Feeling AI,"['vulnerable consumers', 'empower', 'accessible services', 'optimize customer experiences', 'consumer decision-making']","The abstract discusses leveraging AI technologies to detect and better serve vulnerable consumers, focusing on understanding their needs and making services more accessible, which aligns with the objectives of Feeling AI. It emphasizes customer understanding, improving experiences, and tailoring services that resonate emotionally with consumers.",70%,10%,20%,0%,0%
"Artificial Intelligence, Neuroscience and Emotional Data. What Role for Private Autonomy in the Digital Market?",Dal Verme T.M.C.,2023,10.5553/ELR.000257,"Within the context of mass production, consumers represent a vulnerable category since they are the weaker contracting party due to the existing information asymmetry between companies and customers. Moreover, consumers suffer from new forms of vulnerability due to the combination of new technological phenomena – such as Artificial Intelligence (AI) and Big Data – and the latest findings in neuroscience, which allows businesses to have a monopoly on the newly acquired knowledge on consumers’ purchase decision-making. This article aims at analysing the new technological trends in digital marketing that show the increasing role of ‘AI emotional marketing’ as a tool to access the inner and unconscious layers of consumers’ mind to redirect their economic choices. In this respect, the article will focus on the legal notion of ‘autonomy’ within the EU legislation on consumer protection and contract law, in order to investigate whether the current legal framework is well equipped to counteract the new form of algorithmic manipulation in the digital market. © 2023, Boom Uitgevers. All rights reserved.",Artificial Intelligence; consumer vulnerability; contract law; emotions; private autonomy,Boom Uitgevers,scopus-ai,1,Feeling AI,"['vulnerability', 'emotional marketing', 'consumer decision-making', 'algorithmic manipulation']","The abstract discusses 'AI emotional marketing' and its role in accessing the unconscious layers of consumers' minds to influence their economic choices. This directly aligns with the focus on customer understanding and emotional needs characteristic of Feeling AI. Additionally, the analysis of consumer autonomy in the context of algorithmic manipulation indicates a deep engagement with emotional and psychological factors in consumer behavior.",70%,10%,20%,0%,0%
Unveiling the e-Servicescape of ChatGPT: Exploring User Psychology and Engagement in AI-Powered Chatbot Experiences,Kim M.,2024,10.3390/bs14070558,"This study explores the psychological motivations that drive ChatGPT users to embrace and sustain the use of such technology based on the fundamental notion of the environmental psychology theory, including servicescapes. To do so, this study delves into the influence of ChatGPT’s e-servicescapes on users’ emotional states and intention to engage with ChatGPT for decision-making processes. This study conducted an online survey among ChatGPT users in the United States. Structural equation modeling revealed that negative emotions were significantly influenced by various e-servicescape sub-dimensions, including security, visual appeal, entertainment value, originality of design, and social factors. Positive emotions, on the other hand, were influenced by factors such as visual appeal, customization, interactivity, and relevance of information. Both positive and negative emotions significantly affected user satisfaction, which, in turn, shaped their behavioral intention to engage with ChatGPT. This study contributes to the understanding of digital environmental psychology and chatbots by extending the notion of e-servicescapes to the context of AI-based services. It underscores the significance of e-servicescapes in shaping user experiences and provides valuable insights for business scholars and marketing practitioners. © 2024 by the author.",artificial intelligence; chatbot; ChatGPT; e-servicescapes; environmental psychology theory,Multidisciplinary Digital Publishing Institute (MDPI),scopus-ai,1,Feeling AI,"['emotional states', 'user satisfaction', 'positive emotions', 'negative emotions', 'user experiences']","The abstract emphasizes the psychological motivations behind user engagement with ChatGPT, particularly focusing on how emotional states influence user satisfaction and behavioral intentions. It highlights the importance of understanding customer emotions and tailoring experiences accordingly, aligning closely with the objectives of Feeling AI, which seeks to understand and meet customer emotional needs.",70%,10%,15%,0%,5%
Fashion Virtual Influencers: Antecedents Influencing Females' Behavioral Intentions in Jordan,Almasri Y.,2023,10.35516/hum.v50i3.5420,"Objectives: Social media influencers and celebrities have traditionally been utilized by marketers. However, with the advancements in artificial intelligence, virtual influencers are gaining popularity on social media platforms. As a result, companies are compelled to incorporate this emerging trend into their social media campaigns. However, there is limited research available regarding the effectiveness criteria of virtual influencers to guide marketers in their selection decisions. Therefore, this study aims to investigate the attributes of virtual influencers that impact consumer behavioral intentions, specifically within the fashion domain. Methods:. To measure the antecedents to influencing behavioral intentions, 224 online surveys were distributed to female Instagram users selected through convenience sampling method. The empirical design of the study involoved several Instagram posts created as if by a virtual influencer promoting a fictional fashion brand. These posts measured the constructs related to the research questions, drawing from validated digital human and influencer marketing literature. The collected data was analyzed using the Partial Least Squares method. Results: The study findings revealed that content informativeness, bonding, expertise, human like attributes, and consumer innovativeness all had varying degrees of influence on behavioral intentions, with content informativeness being the most influential factor. Conclusions: The study contributes to the limited literature on virtual influencers and provides novel practical implications to marketers. It also suggests the need for further in-depth studies to identify effective attributes of virtual influencers. © 2023 DSR Publishers/ The University of Jordan.",AI influencer; CGI influencer; computer generated influencer; fashion influencer marketing; Virtual influencer,"University of Jordan,Deanship of Scientific Research",scopus-ai,1,Feeling AI,"['consumer behavioral intentions', 'human-like attributes', 'bonding', 'expertise', 'content informativeness', 'consumer innovativeness']","The abstract focuses on understanding how various attributes of virtual influencers affect consumer behavioral intentions, which aligns with the customer understanding and relationalization aspects of Feeling AI. The study emphasizes emotional connections (bonding), perceived expertise, and human-like attributes of virtual influencers, which are essential for engaging consumers on an emotional level. This analysis of consumer behavior and psychological influences indicates a strong relevance to the Feeling AI category.",70%,10%,20%,0%,0%
The Role of Marketing Artificial Intelligence in Enhancing Sustainable Financial Performance of Medium-Sized Enterprises Through Customer Engagement and Data-Driven Decision-Making,Magableh I.K.; Mahrouq M.H.; Ta’Amnha M.A.; Riyadh H.A.,2024,10.3390/su162411279,"This study aims to examine the impact of marketing artificial intelligence (AI) and the specific channels it uses to influence the performance of Jordanian SMEs. In contrast to prior research that focused solely on the direct effects of marketing AI on organizational performance, our study introduces innovative pathways involving customer engagement, customer satisfaction, and data-driven decision-making. These channels serve as indirect mechanisms through which the impact of marketing AI extends to influence the Sustainable Financial Performance of SMEs. Using a framework for structural equation modeling, we looked at the answers of 250 small and medium-sized enterprises (SMEs) chosen through cluster sampling from industrially active areas in Jordan. Our findings reveal that the adoption of AI technologies leads to a notable 42.5% enhancement in Sustainable Financial Performance among SMEs, driven by a 50% increase in customer engagement and a 76% improvement through data-driven decision-making processes. While our study did not establish a direct correlation between marketing AI and long-term financial performance, it demonstrated the connection between technology adoption, customer-focused strategies, and data-driven practices. The findings offer actionable insights and recommendations for Jordanian SMEs leveraging marketing AI to achieve competitive advantage and sustainable growth. The study offers significant contributions to how marketing AI improves the Sustainable Financial Performance of Jordanian SMEs by identifying crucial indirect pathways. Unlike previous studies, it focuses on the roles of customer engagement, satisfaction, and data-driven decision-making as mediators rather than emphasizing direct impacts. The findings highlight the importance of integrating technology with customer-centric and data-oriented strategies to drive sustainable growth and competitiveness in SMEs. © 2024 by the authors.",AI marketing; artificial intelligence; data-driven decision-making; SMEs; sustainable financial performance,Multidisciplinary Digital Publishing Institute (MDPI),scopus-ai,0,Feeling AI,"['customer engagement', 'customer satisfaction', 'data-driven decision-making']","The abstract emphasizes the importance of customer engagement and satisfaction as key pathways through which marketing AI enhances the Sustainable Financial Performance of SMEs. This aligns with the 'Feeling AI' category, which focuses on customer understanding and relationalization, including understanding and meeting customer emotional needs. The reference to customer engagement indicates an emphasis on personalizing experiences and tailoring communication, which are critical aspects of Feeling AI. While there is a component of data-driven decision-making that aligns with strategic analysis, the core focus remains on customer-centric approaches.",60%,15%,25%,0%,0%
In companies we trust: consumer adoption of artificial intelligence services and the role of trust in companies and AI autonomy,Frank D.-A.; Jacobsen L.F.; Søndergaard H.A.; Otterbring T.,2023,10.1108/ITP-09-2022-0721,"Purpose: Companies utilize increasingly capable Artificial Intelligence (AI) technologies to deliver modern services across a range of consumer service industries. AI autonomy, however, sparks skepticism among consumers leading to a decrease in their willingness to adopt AI services. This raises the question as to whether consumer trust in companies can overcome consumer reluctance in their decisions to adopt high (vs low) autonomy AI services. Design/methodology/approach: Using a representative survey (N = 503 consumers corresponding to N = 3,690 observations), this article investigated the link between consumer trust in a company and consumers' intentions to adopt high (vs low) autonomy AI services from the company across 23 consumer service companies accounting for six distinct service industries. Findings: The results confirm a significant and positive relationship between consumer trust in a company and consumers' intentions to adopt AI services from the same company. AI autonomy, however, moderates this relationship, such that high (vs low) AI autonomy weakens the positive link between trust in a company and AI service adoption. This finding replicates across all 23 companies and the associated six industries and is robust to the inclusion of several theoretically important control variables. Originality/value: The current research contributes to the recent stream of AI research by drawing attention to the interplay between trust in companies and adoption of high autonomy AI services, with implications for the successful deployment and marketing of AI services. © 2023, Darius-Aurel Frank, Lina Fogt Jacobsen, Helle Alsted Søndergaard and Tobias Otterbring.",Artificial intelligence; Autonomy; Innovation adoption; Trust in the company,Emerald Publishing,scopus-ai,24,Feeling AI,"['consumer trust', 'adopt AI services', 'AI autonomy', 'consumer reluctance']","The abstract discusses the relationship between consumer trust in companies and their willingness to adopt AI services, highlighting emotional factors such as trust and skepticism. This aligns with the 'Feeling AI' category, which focuses on understanding customer emotional needs and wants, as well as developing positioning that resonates with customers. The findings emphasize the importance of trust, which is a key emotional component, and how it affects the adoption of AI services, particularly in high autonomy scenarios.",70%,10%,20%,0%,0%
Exploring international students’ adoption of AI-enabled voice assistants in enrolment decision making: a grounded theory approach,Pawar S.K.; Vispute S.A.,2024,10.1080/08841241.2023.2239720,"The proliferation and increasing significance of AI-enabled voice assistants (AIVAs) for consumer purchase decisions imply the need for a better understanding of their acceptance in the higher education (HE) enrollment context. Using the Grounded Theory (GT) research method and a consumer value perspective, we examine the enrolment decision-making of international students in the presence of AIVAs to propose a conceptual model linking value to adoption. Findings highlight the influence of the key antecedents of hedonic and functional value in AIVA adoption. The findings also indicate that the student and the AIVA can co-create novel experiences during information search and evaluation of enrollment alternatives. Some participants proactively suggest a larger role for the AIVA to aid their enrollment decision-making. Points of attention for university marketing managers are suggested based on the proposed core concept and the resulting tentative hypotheses. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",AI-enabled voice assistants; consumer behaviour; enrollment decision-making; international marketing of higher education; international students; university marketing strategy,Routledge,scopus-ai,7,Feeling AI,"['AIVA', 'enrollment decision-making', 'co-create', 'experiences', 'hedonic value', 'functional value']","The abstract discusses the influence of AI-enabled voice assistants (AIVAs) on the enrollment decision-making process of international students. It highlights the co-creation of experiences, which relates to understanding and meeting emotional needs and wants of customers. Additionally, the mention of hedonic and functional values aligns with the focus on customer understanding and relationalization in Feeling AI. The involvement of students suggesting a larger role for AIVAs indicates an emotional engagement with the technology, further supporting the classification.",70%,10%,20%,0%,0%
Why would consumers risk taking purchase recommendations from voice assistants?,Bawack R.E.; Bonhoure E.; Mallek S.,2024,10.1108/ITP-01-2023-0001,"Purpose: This study aims to identify and explore different risk typologies associated with consumer acceptance of purchase recommendations from voice assistants (VAs). Design/methodology/approach: Drawing on components of perceived risk, consumer trust theory, and consumption value theory, a research model was proposed and tested using structural equation modeling (SEM) with data from 482 voice shoppers. Findings: The results reveal that, unlike risks associated with physical harm, privacy breaches, and security threats, a variety of other concerns—including financial, psychological, social, performance-related risks, time loss, and the overall perceived risks—significantly influence consumers' willingness to accept VAs purchase recommendations. The effect is mediated by trust in VA purchase recommendations and their perceived value. Different types of risk affect various consumption values, with functional value being the most influential. The model explains 58.6% of the variance in purchase recommendation acceptance and significantly elucidates the variance in all consumption values. Originality/value: This study contributes crucial knowledge to understanding consumer decision-making processes as they increasingly leverage AI-powered voice-based dialogue platforms for online purchasing. It emphasizes recognizing diverse risk typologies associated with VA purchase recommendations and their impact on consumer purchase behavior. The findings offer insights for marketing managers seeking to navigate the challenges posed by consumers' perceived risks while leveraging VAs as an integral component of modern shopping environments. © 2024, Emerald Publishing Limited.",Recommendation; Risk; Trust; Value; Voice assistant; Voice shopping,Emerald Publishing,scopus-ai,3,Feeling AI,"['consumer acceptance', 'trust', 'perceived risk', 'purchase recommendations', 'emotional needs']","The abstract discusses consumer acceptance of purchase recommendations from voice assistants, emphasizing the impact of different risk typologies and trust on consumer behavior. This aligns closely with the 'Feeling AI' category, which focuses on understanding customer emotional needs and wants. The study explores how various risks, including psychological and social risks, influence consumer trust and their willingness to engage with voice assistants, indicating a deeper emotional consideration in the decision-making process.",70%,10%,20%,0%,0%
Managerial framework for evaluating AI chatbot integration: Bridging organizational readiness and technological challenges,Urbani R.; Ferreira C.; Lam J.,2024,10.1016/j.bushor.2024.05.004,"The ubiquity of chatbots continues to expand, offering a multitude of benefits for firms. While acknowledging the capabilities of AI chatbots to handle customer interactions and improve response times, we critically examine several challenges they present, including interoperability challenges, data protection concerns, and biased output. This research presents a novel framework for managers to assess a firm's readiness to adopt AI chatbot technology through the lens of the technology acceptance model (TAM), which has been adapted to account for the critical challenges associated with the emerging technology. Incorporating four factors—subjective norms, compatibility, facilitating conditions, and trust—allows for a more holistic assessment of a firm's readiness to adopt AI chatbot technology. The framework, together with a readiness assessment tool, provides a comprehensive mechanism for managerial decision-making, focusing on the adoption of AI chatbots in customer service, sales, and marketing business functions. In exploring these factors, our article explores the managerial implications of integrating AI chatbots into business processes, ensuring an informed and holistic approach to technology adoption. © 2024 Kelley School of Business, Indiana University",Artificial intelligence; Business process automation; Chatbots; Data privacy; Large language models; Technology acceptance model,Elsevier Ltd,scopus-ai,5,Feeling AI,"['customer interactions', 'trust', 'managerial implications', 'customer service', 'customer needs', 'integration']","The abstract discusses the adoption of AI chatbots in customer service, sales, and marketing, emphasizing the importance of understanding customer needs and trust. It highlights the challenges and managerial implications of integrating these technologies into business processes, which aligns with the focus on customer understanding and relationalization found in the Feeling AI category.",60%,20%,20%,0%,0%
The interactive effect of recommendation subjects and message types on consumers' suboptimal food purchase intentions,Li S.; Huang X.; Sheng Y.; Chen K.,2025,10.1016/j.jretconser.2024.104200,"Purchasing suboptimal foods is an effective measure to reduce food waste, but there is still significant consumer resistance in purchasing decisions. Message interventions are widely adopted by retailers as a convenient, flexible, and cost-effective strategy. The interactive effect of recommendation subjects and message types on suboptimal food purchase intentions is investigated in this study employing a 2 (recommendation subjects: AI vs. human) × 2 (message types: fact-based vs. affect-based) between-subjects experimental framework. It has been discovered that AI recommenders enhance purchase intentions when delivering fact-based messages, whereas human recommenders are more effective when offering affect-based messages. Moreover, the mediating role of green identity is confirmed. The interactive effect between recommendation subjects and message types is moderated by scarcity cues, with fact-based messages being more effective when combined with long-term scarcity cues, while affect-based messages being more effective when combined with short-term scarcity cues. In this work, the application of “algorithm appreciation effect” and “algorithm aversion effect” is expanded to the study of suboptimal food purchase intentions. It proposes that providing consumers with specific types of messages from AI or human recommenders can increase their purchase intentions, thereby offering theoretical support and practical insights for retailers' message strategies in suboptimal food marketing. © 2024 Elsevier Ltd",Green identity; Message types; Purchase intentions; Recommendation subjects; Scarcity cues; Suboptimal food,Elsevier Ltd,scopus-ai,0,Feeling AI,"['purchase intentions', 'message interventions', 'affect-based messages', 'green identity', 'emotional needs']","The abstract discusses the impact of different types of messages (fact-based vs. affect-based) on consumer purchase intentions, highlighting the importance of understanding customer emotional responses and preferences. The mention of 'affect-based messages' directly ties to the emotional aspect of marketing. Additionally, the study explores how recommendation subjects (AI vs. human) interact with message types, indicating a focus on customer engagement and the relational aspect of marketing strategies, which aligns with the goals of Feeling AI.",70%,10%,20%,0%,0%
