Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified
Out of the fog: fog computing-enabled AI to support smart marketing management,Hornik J.; Ofir C.; Rachamim M.,2024,10.1007/s11301-024-00441-0,"Marketing and consumer research use a variety of data and electronic measurement devices for research, theory-building, and applied decision-making. Managing data deluge produced by ‘smart devices’ and internet of things (IoT) actuators and sensors is one of the challenges faced by managers when using IoT systems. With the advent of the cloud-based IoT and artificial intelligence, which are advancing a ‘smart world’ and introducing automation in many application areas, such as ‘smart marketing,’ a need has arisen for various modifications to support the IoT devices that are at the center of the automation world, including recent language models like, ChatGPT and Bart, and technologies like nanotechnology. The article introduces the marketing community to a recent computing development: IoT-driven fog computing (FC)—an emerging concept that decentralizes operations, management, and data into the network utilizing a distributed and federated computing paradigm. Although numerous research studies have been published on ‘smart’ applications, none hitherto have been conducted on fog-based smart marketing. FC is considered a novel computational system, which can mitigate latency and improve bandwidth utilization for autonomous marketing applications requiring real-time processing of ‘big data’ typical of smart marketing ecosystems. © The Author(s) 2024.",Artificial intelligence (AI); Digital marketing; Edge computing; Fog computing; Marketing internet of things (MIoT); O; Smart marketing; Software defined networks (SDN),Springer Nature,scopus-ai,1,Mechanical AI,"['data deluge', 'IoT systems', 'automation', 'fog computing', 'real-time processing', 'big data']","The abstract discusses the use of IoT devices and fog computing in marketing contexts, primarily focusing on managing data collection and processing in 'smart marketing' ecosystems. It emphasizes the automation of data handling and processing, which aligns with the definitions provided for Mechanical AI, particularly in data collection and standardization processes. While the abstract mentions new technologies and improvements in operational efficiency, it does not delve into emotional understanding or market analysis, which would relate it to the other categories.",0%,80%,20%,0%,0%
Multiheaded deep learning chatbot for increasing production and marketing,Zheng S.; Yahya Z.; Wang L.; Zhang R.; Hoshyar A.N.,2023,10.1016/j.ipm.2023.103446,"Some businesses on product development prefer to use a chatbot for judging the customer's view. Today, the ability of a chatbot to consider the context is challenging due to its technical nature. Sometimes, it may misjudge the context, making the wrong decision in predicting the product's originality in the market. This task of chatbot helps the enterprise make huge profits from accurate predictions. However, chatbots may commit errors in dialogs and bring inappropriate responses to users, reducing the confidentiality of product and marketing information. This, in turn, reduces the enterprise gain and imposes cost complications on businesses. To improve the performance of chatbots, AI models are used based on deep learning concepts. This research proposes a multi-headed deep neural network (MH-DNN) model for addressing the logical and fuzzy errors caused by retrieval chatbot models. This model cuts down on the error raised from the information loss. Our experiments extensively trained the model on a large Ubuntu dialog corpus. The recall evaluation scores showed that the MH-DNN approach slightly outperformed selected state-of-the-art retrieval-based chatbot approaches. The results obtained from the MHDNN augmentation approach were pretty impressive. In our proposed work, the MHDNN algorithm exhibited accuracy rates of 94% and 92%, respectively, with and without the help of the Seq2Seq technique. © 2023 Elsevier Ltd",Artificial intelligence; Business product development; Chatbot; Deep neural network; Marketing,Elsevier Ltd,scopus-ai,13,Mechanical AI,"['chatbot', 'context', 'predictions', 'errors', 'performance', 'data', 'deep learning', 'dialog corpus', 'accuracy']","The abstract discusses the use of chatbots in product development and how they can help businesses make accurate predictions about customer views. The focus is on improving the performance of chatbots through AI models and deep learning, which relates to the automation and processing of customer data. This aligns with the Mechanical AI category, which emphasizes data collection and processing, and the automation of customer interactions.",10%,70%,20%,0%,0%
EXPLORING CHATGPT'S EFFICACY IN IDENTIFYING POTENTIAL BUSINESS PARTNERS: A COMPARATIVE STUDY,Prohorovs A.; Dalal S.; Radulescu M.,2024,10.2478/jec-2024-0019,"Purpose. This study aims to evaluate the effectiveness of using ChatGPT for a practically important but under-researched task in the scientific literature: the preliminary search and identification of potential business partners or counterparties. Design/Methodology/Approach. An experiment was conducted where ChatGPT was tasked with suggesting ten digital marketing agencies for each of three countries - Germany, Latvia, and Poland, including links to these agencies' homepages. The accuracy of the responses was verified. The study also compared the accuracy of responses between the latest version of ChatGPT (ChatGPT 4o) and the previous version (ChatGPT 4) connected to the Internet. Findings. Both versions of ChatGPT were found to make a significant number of errors or inaccuracies when identifying potential business partners that met predefined criteria. Moreover, the frequency of these errors increased when searching in countries with smaller populations and economies. It was also found that the newer version, ChatGPT 4o, did not demonstrate improved accuracy compared to ChatGPT 4, which was connected to the Internet. Both versions of ChatGPT examined in the study provide a higher level of accuracy in identifying potential partners in countries with larger economies and populations. Originality / Value / Practical Implications. This research contributes to a practical understanding of the limitations and capabilities of AI tools in identifying business partners, providing valuable information for both practitioners and researchers in the field. This study also provides a benchmark for determining the accuracy of ChatGPT in performing common and important business tasks such as preliminary search and identification of business partners. The results of the study provide a basis for future research to track the progress of language models in similar business applications. The proposed evaluation methodology can be applied to future research aimed at assessing the capabilities of language models in solving business problems. © 2024 Authors.",AI language model; ChatGPT; Decision making; Identification of business partners; Risk assessment,Sciendo,scopus-ai,0,Mechanical AI,"['ChatGPT', 'digital marketing agencies', 'business partners', 'accuracy', 'search', 'identification']","The abstract discusses using ChatGPT to perform a preliminary search and identification of potential business partners or counterparties, which aligns with the focus on data collection and processing. The task involves automating the identification of digital marketing agencies based on specified criteria, indicating a mechanical application of AI in recognizing patterns in data. While there is a comparative analysis of the accuracy of different versions of ChatGPT, the core task is predominantly about collecting and processing relevant data rather than strategic analysis or emotional understanding.",0%,80%,20%,0%,0%
Artificial Intelligence Chatbots: A Survey of Classical versus Deep Machine Learning Techniques,Alazzam B.A.; Alkhatib M.; Shaalan K.,2023,10.18576/isl/120437,"Artificial Intelligence (AI) enables machines to be intelligent, most importantly using Machine Learning (ML) in which machines are trained to be able to make better decisions and predictions. In particular, ML-based chatbot systems have been developed to simulate chats with people using Natural Language Processing (NLP) techniques. The adoption of chatbots has increased rapidly in many sectors, including, Education, Health Care, Cultural Heritage, Supporting Systems and Marketing, and Entertainment. Chatbots have the potential to improve human interaction with machines, and NLP helps them understand human language more clearly and thus create proper and intelligent responses. In addition to classical ML techniques, Deep Learning (DL) has attracted many researchers to develop chatbots using more sophisticated and accurate techniques. However, research has paid chatbots have widely been developed for English, there is relatively less research on Arabic, which is mainly due to its complexity and lack of proper corpora compared to English. Though there have been several survey studies that reviewed the state-of-the-art of chatbot systems, these studies (a) did not give a comprehensive overview of how different the techniques used for Arabic chatbots in comparison with English chatbots; and (b) paid little attention to the application of ANN for developing chatbots. Therefore, in this paper, we conduct a literature survey of chatbot studies to highlight differences between (1) classical and deep ML techniques for chatbots; and (2) techniques employed for Arabic chatbots versus those for other languages. To this end, we propose various comparison criteria of the techniques, extract data from collected studies accordingly, and provide insights on the progress of chatbot development for Arabic and what still needs to be done in the future. © 2023 NSP Natural Sciences Publishing Cor.",Arabic Language; Artificial Intelligence; Chatbots; Deep Learning; Machine Learning,Natural Sciences Publishing,scopus-ai,11,Mechanical AI,"['chatbots', 'Machine Learning', 'Natural Language Processing', 'customer interaction', 'data collection']","The abstract discusses the development and application of chatbots using AI and ML techniques, particularly focusing on how these systems can automate interactions and improve understanding of human language. This aligns with the Mechanical AI category, which emphasizes data collection and automation in customer interactions. While there are elements of customer understanding and relationalization, the primary focus is on the technologies used to collect data and automate responses, which fits more closely with Mechanical AI.",10%,70%,20%,0%,0%
Progress in the application of artificial intelligence technology in the garment industry from the perspective of product life cycle; [产品生命周期视域下人工智能技术在服装产业中的应用进展],Hong Y.; Yuan L.; Li M.; Zhang Y.,2024,10.3969/j.issn.1001-7003.2024.12.001,The traditional garment industry is confronted with numerous challenges including escalating labor costs inadequate design innovation and suboptimal supply chain management. These issues primarily arise from the labor-intensive characteristics of the garment sector and its significant reliance on human resources. As globalization continues to influence market dynamics companies are increasingly pressured to maintain competitive pricing while ensuring high-quality products that meet consumer demands for sustainability and ethical production practices. Artificial intelligence AI a technology that emulates human cognitive functions and can substantially replace manual operations has been extensively adopted in the apparel industry-particularly in enhancing efficiency across clothing design production processes sales strategies and managing manufacturing costs. AI applications range from predictive analytics that forecast fashion trends based on consumer behavior data to automated cutting machines that optimize fabric usage during production. Furthermore machine learning algorithms can analyze vast datasets to identify patterns in customer preferences or inventory levels enabling businesses to make informed decisions regarding stock management. Nevertheless a comprehensive examination of AI' s application within the clothing domain remains lacking. While some studies have explored specific use cases of AI technologies such as computer vision for quality control or chatbots for customer service enhancement there is still a gap in understanding how these innovations interconnect throughout various stages of product development. Apparel product lifecycle management PLM serves as an integrated management solution that encompasses design manufacturing processes distribution channels and sales strategies to assist companies in tracking and overseeing their apparel product lifecycle effectively. By integrating PLM systems with AI capabilities like real-time data analysis and automation tools organizations can streamline workflows significantly-from initial concept development through final retail delivery. Consequently this paper aims to thoroughly investigate the specific applications of artificial intelligence at each stage of apparel product lifecycles through two lenses application scenarios and algorithms it will analyze both the current state and limitations of existing research with the intention of providing insights for scholars in related fields while fostering transformation and advancement within the garment industry to enhance its competitiveness. This exploration will not only highlight successful case studies but also address potential barriers such as technological adoption rates among small enterprises or concerns regarding data privacy when utilizing consumer information for algorithm training purposes. © 2024 China Silk Association. All rights reserved.,artificial intelligence; clothing industry; deep learning; marketing; product lifecycle management; supply chain,China Silk Association,scopus-ai,0,Mechanical AI,"['automated cutting machines', 'predictive analytics', 'real-time data analysis', 'automation tools', 'streamline workflows', 'inventory levels']","The abstract discusses various applications of artificial intelligence in the garment industry, focusing on enhancing efficiency through automation, data analysis, and process optimization. These align closely with the Mechanical AI category, which emphasizes data collection, segmentation, and standardization processes. The mention of automated processes and data-driven decision-making strengthens this classification.",0%,70%,20%,0%,10%
When AI meets store layout design: a review,Nguyen K.; Le M.; Martin B.; Cil I.; Fookes C.,2022,10.1007/s10462-022-10142-3,"An efficient store layout presents merchandise to attract customer attention and encourages customers to walk down more aisles which exposes them to more merchandise, which has been shown to be positively correlated with the sales. It is one of the most effective in-store marketing tactics which can directly influence customer decisions to boost store sales and profitability. The recent development of Artificial Intelligence techniques, especially with its sub-fields in Computer Vision and Deep Learning, has enabled retail stores to take advantage of existing CCTV infrastructure to extract in-store customer and business insights. This research aims to conduct a comprehensive review on existing approaches in store layout design and modern AI techniques that can be utilized in the layout design task. Based on this review, we propose an AI-powered store layout design framework. This framework applies advanced AI and data analysis techniques on top of existing CCTV video surveillance infrastructure to understand, predict and suggest a better store layout. © 2022, The Author(s).",Business intelligence; CCTV visual intelligence; Retail layout; Store layout; Video analytic,Springer Nature,scopus-ai,10,Mechanical AI,"['store layout', 'customer insights', 'CCTV', 'data analysis', 'in-store marketing', 'sales']","The abstract discusses the use of AI techniques for analyzing customer behavior and optimizing store layout, which involves data collection and processing through existing CCTV infrastructure. This aligns with the focus of Mechanical AI on data collection and segmentation, as it aims to gather insights and automate the understanding of customer interactions with merchandise.",0%,70%,20%,0%,10%
A study of user comment mining and new media marketing under multi-categorical evidence inference,Luo Y.,2024,10.1504/IJISD.2024.140844,"We study the construction of a new media sales review mining model based on convolutional neural network (CNN) review text recognition algorithm and artificial intelligence classification decision algorithm of evidence inference. A long and short term memory algorithm is introduced in the CNN model to extract the contextual meaning of the text, and the classification structure of evidence inference is used to carry out the text semantic reclassification of the model. The experimental results show that the support of evidence classification of the model is within the range of 0.77–0.79, and the correlation between evidence and classification is obvious. The classification accuracy is 0.947 and the recall rate is 0.728. Compared with other experimental algorithms, the classification accuracy and recall rate of the proposed algorithm are higher. The correlation experiments and validity experimental data prove that the CNN-ER model’s has high classification accuracy, stable algorithm computation and robustness in online sales user evaluation. © 2024 Inderscience Enterprises Ltd.",classification support; CNN; convolutional neural network; evidence inference algorithm; long and short-term memory algorithm; network sales; semantic recognition,Inderscience Publishers,scopus-artificial intelligence,0,Mechanical AI,"['CNN', 'review text recognition', 'classification accuracy', 'contextual meaning', 'evidence inference']","The abstract discusses a model that utilizes a convolutional neural network (CNN) for text recognition and classification in the context of media sales reviews. The focus on high classification accuracy and the use of algorithms to process text data aligns with the objectives of Mechanical AI, which pertains to data collection and segmentation. The emphasis on algorithmic performance and stability in user evaluations also supports this classification.",0%,80%,20%,0%,0%
A decision support system to evaluate the quality and warranty policies for remanufactured products,Kuik S.; Ban J.; Diong L.; Qi X.,2023,10.1108/TQM-02-2022-0046,"Purpose: This paper proposes optimisation models to evaluate and examine the selling of extended warranty policies in terms of improved profits in producing/marketing remanufactured products. These models are numerically solved using a quadratic programming solution approach and implemented in the decision support system (DSS). Design/methodology/approach: The purpose of this paper is to develop the optimisation models for a DSS and evaluate different warranty policies for buyers. Findings: This study has demonstrated the flexibility and usefulness of a model-driven DSS for the quality and warranty management, which is applied to examine and evaluate different configurations (i.e. component reuse, rebuild and recycle) for remanufactured products and propose the selling of extended warranty policies for buyers. Research limitations/implications: The developed model-driven DSS can assist manufacturers to select and increase the number of components, e.g. to be reused, rebuilt, and recycled for producing a remanufactured product and propose suitable warranty policies for buyers. However, this study focusses only on the evaluation of warranty policies for specific remanufactured products in a DSS, i.e. types of air compressors for production operations in manufacturing industry. Originality/value: This study developed optimisation models to be used in a DSS for proposing the selling of extended warranty of a remanufactured product to improve customer satisfaction and maximise the gained profits for manufacturers. © 2022, Emerald Publishing Limited.",Decision support system; Product remanufacturing; Quality management; Reliability; Warranty,Emerald Publishing,scopus-artificial intelligence,2,Mechanical AI,"['optimisation models', 'decision support system', 'warranty policies', 'remanufactured products', 'profits']","The abstract discusses the development of optimisation models for a decision support system intended to improve the selling of extended warranty policies for remanufactured products. This aligns with the Mechanical AI category, which focuses on automating processes to meet customer needs and enhancing marketing strategies through data-driven approaches. The emphasis on improving profits through marketing remanufactured products indicates an automated approach to market analysis and segmentation, which are key aspects of Mechanical AI.",0%,70%,20%,0%,10%
Complementing human effort in online reviews: A deep learning approach to automatic content generation and review synthesis,Carlson K.; Kopalle P.K.; Riddell A.; Rockmore D.; Vana P.,2023,10.1016/j.ijresmar.2022.02.004,"Online product reviews are ubiquitous and helpful sources of information available to consumers for making purchase decisions. Consumers rely on both the quantitative aspects of reviews such as valence and volume as well as textual descriptions to learn about product quality and fit. In this paper we show how new achievements in natural language processing can provide an important assist for different kinds of review-related writing tasks. Working in the interesting context of wine reviews, we demonstrate that machines are capable of performing the critical marketing task of writing expert reviews directly from a fairly small amount of product attribute data (metadata). We conduct a kind of “Turing Test” to evaluate human response to our machine-written reviews and show strong support for the assertion that machines can write reviews that are indistinguishable from those written by experts. Rather than replacing the human review writer, we envision a workflow wherein machines take the metadata as inputs and generate a human readable review as a first draft of the review and thereby assist an expert reviewer in writing their review. We next modify and apply our machine-writing technology to show how machines can be used to write a synthesis of a set of product reviews. For this last application we work in the context of beer reviews (for which there is a large set of available reviews for each of a large number of products) and produce machine-written review syntheses that do a good job – measured again through human evaluation – of capturing the ideas expressed in the reviews of any given beer. For each of these applications, we adapt the Transformer neural net architecture. The work herein is broadly applicable in marketing, particularly in the context of online reviews. We close with suggestions for additional applications of our model and approach as well as other directions for future research. © 2022",Artificial intelligence; Automation; Deep learning; Machine learning; Online reviews; Review synthesis; Wine reviews,Elsevier B.V.,scopus-artificial intelligence,15,Mechanical AI,"['natural language processing', 'machine-written reviews', 'metadata', 'product reviews', 'synthesis of reviews']","The abstract discusses how natural language processing can automate the process of writing reviews based on product attribute data, demonstrating a focus on the automation of tasks related to marketing. This aligns with the Mechanical AI category, which emphasizes the automation of processes and outputs in response to customer needs. While there are elements of customer understanding and relationalization, the primary focus is on the automation aspect, which is characteristic of Mechanical AI.",15%,70%,15%,0%,0%
An empirical investigation of traceability technology adoption: a case of perishable products supply chain,Kumar S.; Ramtiyal B.; Soni G.; Vijayvargy L.; Chandra C.; Dey I.,2024,10.1108/BIJ-05-2024-0461,"Purpose: Traceability is predicted to usher in a fundamental shift in the way transactions in supply chains (SCs) are carried out. By reducing the negative aspects of trust-related issues in a SC, traceability enables improved visibility and transparency. Design/methodology/approach: We advance research on traceability adoption in the perishable products supply chain by developing and validating an integrated model that combines the technology acceptance model (TAM), the technology readiness index (TRI) and the theory of planned behavior (TPB). A quantitative approach was employed, collecting data through an online survey of 174 supply chain professionals in major Indian cities using a five-point Likert scale. Participants were selected via LinkedIn, each with at least two years of SCM experience. Nonresponse bias was assessed by comparing early and late respondents, revealing no significant differences. Structural equation modeling (SEM) was used to test various research hypotheses derived from literature. Composite reliability and discriminant validity of constructs were verified before examining the relationships among the constructs within the structural model. Findings: The study found that the TRI components of optimism and innovation did not impact perceived ease of use or perceived utility. Additionally, behavioral intention is shaped by perceived utility, attitude and perceived behavioral control. Practical implications: This research provides valuable insights for managers aiming to adopt traceability in supply chains (SCs). It helps identify critical factors for effective traceability adoption, showing that perceived ease of use (PEU) and perceived usefulness are pivotal in shaping practitioners’ intentions. Managers should prioritize developing intuitive, user-friendly traceability applications that demonstrate clear value in optimizing SC efficiency. The study also reveals that while practitioners are generally optimistic about traceability, they may feel indifferent or lack a sense of control over it. Therefore, companies should focus on marketing strategies that empower decision-makers, highlighting the ease of use and practical benefits of traceability. Additionally, the findings suggest that perceived behavioral control, combined with intention, can effectively predict traceability adoption. By understanding these dynamics, managers can better guide their firms in successfully implementing traceability, ensuring both technological acceptance and operational efficiency. Originality/value: This research offers a novel and in-depth exploration of traceability as an emerging concept in supply chains, particularly in India, where adoption remains limited. It highlights that while SC practitioners recognize traceability’s potential, they lack practical expertise, often driven by curiosity about decentralized databases. It underscores the critical role of artificial intelligence, IoT devices and big data in ensuring precise data collection and analytics, essential for successful traceability. The research also introduces a predictive model combining TAM, TRI and TPB constructs, identifying perceived usefulness, attitude and perceived behavioral control as key factors influencing traceability adoption. © 2024, Emerald Publishing Limited.",Food supply chain; Innovation; Supply chain traceability; Sustainability; Technology adoption models,Emerald Publishing,scopus-artificial intelligence,0,Mechanical AI,"['traceability', 'data collection', 'supply chain', 'perceived ease of use', 'perceived usefulness', 'technology acceptance', 'operational efficiency']","The abstract discusses the adoption of traceability in supply chains, emphasizing the importance of data collection and technological acceptance in improving visibility and transparency. The focus on perceived ease of use and perceived usefulness aligns closely with the Mechanical AI category, which involves automating processes and enhancing data collection capabilities. There are no significant elements relating to emotional understanding or strategic market analysis that would place it in the other categories.",0%,80%,20%,0%,0%
