Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified
The Impact of Generative AI on Syllabus Design and Learning,Kim H.; Koo T.K.B.,2024,10.1177/02734753241299024,"This research examines the impact of generative artificial intelligence (AI) on the perception of educational content quality, specifically by comparing AI-generated and human-generated course syllabi in marketing education. Results from four studies indicate a general preference for AI-generated syllabi, attributed to their greater perceived objectivity. This preference is more pronounced in conventional courses but diminishes in unconventional ones, suggesting that the unique aspects of these courses may reduce the advantages of generative AI. In addition, disclosing the AI authorship of syllabi significantly affects their perceived quality negatively, underscoring the impact of transparency on the acceptance of AI-generated educational materials. These findings highlight the potential of generative AI in educational content creation and its limitations in certain contexts. They offer valuable insights for enhancing educational practices and shaping policy decisions to enrich student experiences in the era of AI integration. © The Author(s) 2024.",AI integration; course syllabus; educational practices; generative AI; marketing education; student perceptions,SAGE Publications Inc.,scopus-ai,0,Not identified,"['generative artificial intelligence', 'educational content quality', 'AI-generated syllabi', 'human-generated syllabi', 'perceived objectivity', 'disclosure', 'transparency']","The abstract discusses the impact of generative AI on educational content quality, specifically in the context of comparing AI-generated and human-generated syllabi. While it touches on perceptions and preferences, it does not clearly align with any marketing-focused applications as defined in the categories. The primary focus on education and content creation makes it difficult to classify within the marketing-specific AI applications.",0%,0%,0%,100%,0%
The bounded intelligence of AI: Superficiality and deceivability,Ma H.; Su M.,2024,10.1016/j.orgdyn.2024.101100,"Artificial Intelligence (AI) is typically designed to replace or augment human beings in making and executing decisions. In the domain of organizational management, AI has already found wide applications in many areas such as HR functions, marketing campaigns, competitive analysis, and strategy formulations, exerting increasing impacts on a host of executives and management professionals. Accurate and timely replicating or capturing the know-how of human decisions and actions becomes imperative, as AI has to be, at least as intelligent as, or even more intelligent than, those human actors whose data are being fed to AI during its training and learning iterations. Just as human beings are subject to bounded rationality due to their limited capacities in information processing, AI, too, is subject to bounded intelligence, in the sense that it could appear not as smart as expected, due to its limited capacities in replicating and capturing human expertise, to say nothing of augmenting or extending it. Such bounded intelligence of AI hinges on two underlying factors: superficiality and deceivability. Superficiality refers to the inability of AI to fully replicate human expertise during its learning process due to natural or technical barriers such as imperfect capturability, relational embeddedness, and time sensitivity. Deceivability refers to the inability of AI to accurately capture human expertise during its learning process due to human-actor-created barriers such as passive evasion, deliberate manipulation, and malicious sabotage. Understanding such boundedness of AI and the specific mechanisms of superficiality and deceivability will help us better appreciate the usefulness and limitations of AI and take measures to both remedy and utilize the bounded intelligence of AI. © 2024 Elsevier Inc.",Artificial intelligence; Bounded intelligence; Coping strategy; Deceivability; Superficiality,Elsevier Ltd,scopus-ai,0,Not identified,"['Artificial Intelligence', 'bounded rationality', 'bounded intelligence', 'superficiality', 'deceivability', 'human expertise']","The abstract discusses the limitations and challenges of AI in replicating human decision-making processes, emphasizing concepts like bounded rationality and the inability of AI to fully capture human expertise. While it touches on aspects relevant to decision-making in organizational management, it lacks a clear focus on emotional understanding, automated marketing processes, or strategic analysis directly applicable to marketing. Therefore, it does not fit neatly into any of the defined categories.",0%,0%,0%,0%,100%
Aggressive Marketing Strikes with a New Weapon: What Should Be Done for Consumers Protection?,Olander S.; Larsson B.-L.H.,2024,,"Artificial Intelligence (AI) has many useful applications, ranging from industrial production to entertainment, e-commerce and smart home devices. However, it is also important not to lose sight of its impact on human rights. We argue that AI can have positive and negative effects on consumers and companies, depending on its design, deployment and regulation. In particular, AI can damage consumers by making unfair, biased and false decisions. It can also be used to create effective and sophisticated dark patterns in order to manipulate consumers to make decisions they may not otherwise have made, which makes it difficult for consumers to understand that they are being manipulated. Consumer protection legislation is dynamic, evolving, and requires continuous monitoring, evaluation, and adaptation, especially as AI becomes more advanced and widely used. Understanding the broad range of laws underpinning the complex and sometimes confusing legal landscape around this technology is becoming increasingly important. We encourage companies to follow up on the latest developments and guidance on consumer protection law, and to participate in ongoing dialogue and consultations with relevant stakeholders and regulators where possible. © 2024 Science of Law.",Artificial Intelligence (AI); Consumer privacy; Consumers protection; Ethical issues,Editorial Team of SoL,scopus-ai,0,Not identified,"['AI', 'consumer protection', 'manipulation', 'dark patterns', 'human rights', 'regulation']","The abstract discusses the implications of AI on consumer rights and potential negative impacts, including manipulation and bias, rather than focusing specifically on marketing applications or strategies. It emphasizes the need for regulation and understanding of consumer protection laws rather than any specific marketing techniques or emotional engagement.",0%,0%,0%,0%,100%
Freedom from interference: Decisional privacy as a dimension of consumer privacy online,Bjørlo L.V.,2024,10.1007/s13162-024-00273-x,"The introduction of AI-based technologies has dramatically altered the premises for consumer privacy, enabling the unprecedented manipulation of consumers’ decision-making online. Given these recent threats to consumer privacy and autonomy, and considering autonomy as the ultimate outcome of privacy, I propose that a reconceptualization is warranted to reflect contemporary consumer privacy challenges and to realign the concept with its theoretical foundations. To this end, I introduce the dimension of decisional privacy, focused on autonomy versus interference in consumer decision-making. Building on previous privacy literature and extending previous theorizing about information privacy and decisional privacy as complementary, I posit that these two dimensions of privacy together comprise consumer privacy. Addressing protection from interference as an under-communicated function of consumer privacy, the paper aims to clarify, exemplify, and engage in the conceptual development of decisional privacy in the context of consumer decision-making online. In addition to its significance for consumer wellbeing and democracy collectively, the extension of consumer privacy to explicitly encompass interference has theoretical implications for privacy concern, the proxy used to measure privacy, yielding important insights for marketing scholars and practitioners. © The Author(s) 2024.",Autonomy; Consumer privacy; Decisional privacy; Privacy; Privacy concerns,Springer,scopus-ai,0,Not identified,"['consumer privacy', 'decision-making', 'autonomy', 'interference']","The abstract discusses the concepts of consumer privacy and decisional privacy related to autonomy and interference in decision-making. It does not fit neatly into the definitions provided for Mechanical AI, Thinking AI, or Feeling AI, as it is more theoretical and focused on privacy implications rather than direct applications in marketing. The focus is on reconceptualizing privacy issues rather than employing AI technologies for data collection, market analysis, or emotional understanding.",0%,0%,0%,0%,100%
"An Analytical Review on the Impact of Artificial Intelligence on the Business Industry: Applications, Trends, and Challenges",Gurjar K.; Jangra A.; Baber H.; Islam M.; Sheikh S.A.,2024,10.1109/EMR.2024.3355973,"The integration of artificial intelligence (AI) in business processes has revolutionized many industries by automating tasks, improving decision-making processes, and enhancing customer experiences. This review article examines the impact of AI in business areas, including its applications, challenges, limitations, current trends, and future work. The article begins with defining the importance of AI in business, followed by an overview of its applications in various sectors, such as customer service, marketing, finance, healthcare, manufacturing, logistics, and human resources. The advantages and benefits of AI implementation are explored, along with the examples of successful AI implementation and changes in business processes. The challenges and limitations of AI technology, such as ethical concerns, data privacy and security issues, technical expertise and knowledge, and high implementation costs, are explained. Current trends in AI integration, such as the integration of AI with other technologies, the growing demand for AI skills, and the development of more advanced and sophisticated AI algorithms, are presented. The review concludes with recommendations and predictions for the future of AI in business areas and proposes strategies for successful AI implementation while reflecting on ethical and social considerations. Our analysis in this article points to various open research areas and improves the understanding of AI in the business field.  © 1973-2011 IEEE.",AI and healthcare; AI and marketing; artificial intelligence (AI); business,Institute of Electrical and Electronics Engineers Inc.,scopus-ai,4,Not identified,"['artificial intelligence', 'business processes', 'customer experiences', 'applications', 'challenges', 'limitations', 'trends', 'future work']","The abstract discusses the broad integration of artificial intelligence in various business processes, focusing on applications across multiple sectors without specifically addressing marketing-related aspects or any emotional data. While it touches upon customer experiences, it does not delve into emotional analytics or strategic marketing applications that would fit neatly into the defined categories. Therefore, it does not align clearly with any of the specific classifications provided.",0%,0%,0%,0%,100%
Leverage zones in Responsible AI: towards a systems thinking conceptualization,Nabavi E.; Browne C.,2023,10.1057/s41599-023-01579-0,"There is a growing debate amongst academics and practitioners on whether interventions made, thus far, towards Responsible AI have been enough to engage with the root causes of AI problems. Failure to effect meaningful changes in this system could see these initiatives not reach their potential and lead to the concept becoming another buzzword for companies to use in their marketing campaigns. Systems thinking is often touted as a methodology to manage and effect change; however, there is little practical advice available for decision-makers to include systems thinking insights to work towards Responsible AI. Using the notion of ‘leverage zones’ adapted from the systems thinking literature, we suggest a novel approach to plan for and experiment with potential initiatives and interventions. This paper presents a conceptual framework called the Five Ps to help practitioners construct and identify holistic interventions that may work towards Responsible AI, from lower-order interventions such as short-term fixes, tweaking algorithms and updating parameters, through to higher-order interventions such as redefining the system’s foundational structures that govern those parameters, or challenging the underlying purpose upon which those structures are built and developed in the first place. Finally, we reflect on the framework as a scaffold for transdisciplinary question-asking to improve outcomes towards Responsible AI. © 2023, The Author(s).",,Springer Nature,scopus-ai,12,Not identified,"['Responsible AI', 'interventions', 'systems thinking', 'holistic interventions', 'framework']","The abstract discusses the concept of Responsible AI and the need for systemic changes in AI practices rather than marketing applications. It focuses on frameworks and methodologies, which do not align with any specific marketing-related AI application categories provided.",0%,0%,0%,0%,100%
Retrieval method as a learning intervention for long term retention and creative thinking skills,Vishnu Vandana V.; Rao A.M.,2024,10.16920/jeet/2024/v37is2/24102,"Few key skills among many that are needed in the 21st century are critical thinking, creativity, collaboration, meta cognitive skills, technology literacy and decision making under uncertainty. With the emergence of ChatGPT and other Generative AI tools, there is a dire need for a distinctive way of learning and application of learning to ensure learning effectiveness. Mere content is no longer the most important factor to learn these skills but. what is needed is the ability to retrieve material learnt, in the context of application. For the learner to be able to apply the critical thinking levels and higher learning levels of Blooms taxonomy, the basic first level of remembering forms the basic foundation, particularly when the students are from first generation educated families or with disadvantaged socioeconomic backgrounds. However, when students cram for the exams, they generally get an ‘illusion of learning’, where they think they know, but in reality often they may not be able to recall what they crammed when they need it later. This is a case of inefficient investment of time and effort in learning for the student. For the teacher, it slows down the teaching process and opportunity to engage in higher order thinking level applications. Addressing the frustrations of both teacher and students, the authors applied the concept of Retrieval method for MBA I year for Marketing Management course during a semester and a survey was conducted at the end of the semester to understand the perception of students on effectiveness of Retrieval techniques. The results supported that retrieval techniques were effective in supporting the student learning. © 2023 JEET.",Blooms Taxonomy; Learning intervention; Retention technique; Retrieval Technique,Rajarambapu Institute Of Technology,scopus-ai,0,Not identified,"['critical thinking', 'learning effectiveness', 'Retrieval techniques', 'MBA', 'Marketing Management']","The abstract discusses educational methods and the effectiveness of retrieval techniques in teaching critical thinking and higher-order learning levels. It does not directly relate to AI applications in marketing such as data collection, market analysis, or customer understanding. Therefore, it does not fit neatly into any of the specified categories.",0%,0%,0%,0%,100%
"A consumer perspective of AI certification – the current certification landscape, consumer approval and directions for future research",Blösser M.; Weihrauch A.,2024,10.1108/EJM-01-2023-0009,"Purpose: In spite of the merits of artificial intelligence (AI) in marketing and social media, harm to consumers has prompted calls for AI auditing/certification. Understanding consumers’ approval of AI certification entities is vital for its effectiveness and companies’ choice of certification. This study aims to generate important insights into the consumer perspective of AI certifications and stimulate future research. Design/methodology/approach: A literature and status-quo-driven search of the AI certification landscape identifies entities and related concepts. This study empirically explores consumer approval of the most discussed entities in four AI decision domains using an online experiment and outline a research agenda for AI certification in marketing/social media. Findings: Trust in AI certification is complex. The empirical findings show that consumers seem to approve more of non-profit entities than for-profit entities, with the government approving the most. Research limitations/implications: The introduction of AI certification to marketing/social media contributes to work on consumer trust and AI acceptance and structures AI certification research from outside marketing to facilitate future research on AI certification for marketing/social media scholars. Practical implications: For businesses, the authors provide a first insight into consumer preferences for AI-certifying entities, guiding the choice of which entity to use. For policymakers, this work guides their ongoing discussion on “who should certify AI” from a consumer perspective. Originality/value: To the best of the authors’ knowledge, this work is the first to introduce the topic of AI certification to the marketing/social media literature, provide a novel guideline to scholars and offer the first set of empirical studies examining consumer approval of AI certifications. © 2023, Myrthe Blösser and Andrea Weihrauch.",AI certification; AI regulation; Artificial intelligence; Consumer trust; Fair AI,Emerald Publishing,scopus-ai,5,Not identified,"['AI certification', 'consumer trust', 'non-profit entities', 'for-profit entities', 'government approval']","The abstract discusses consumer perspectives on AI certification entities and their trust levels but does not fit neatly into the categories defined. It does not focus on mechanical processes (data collection, standardization) or strategic analysis (market analysis, targeting, personalization). Instead, it examines consumer approval and trust, which could suggest elements of emotional understanding but lacks direct application to marketing strategies. Therefore, it falls under 'Not Identified'.",20%,0%,0%,0%,80%
"Artificial Intelligence and Machine Learning: Exploring drivers, barriers, and future developments in marketing management",Volkmar G.; Fischer P.M.; Reinecke S.,2022,10.1016/j.jbusres.2022.04.007,"Companies neither fully exploit the potential of Artificial Intelligence (AI), nor that of Machine Learning (ML), its most prominent method. This is true in particular of marketing, where its possible use extends beyond mere segmentation, personalization, and decision-making. We explore the drivers of and barriers to AI and ML in marketing by adopting a dual strategic and behavioral focus, which provides both an inward (AI and ML for marketers) and an outward (AI and ML for customers) perspective. From our mixed-method approach (a Delphi study, a survey, and two focus groups), we derive several research propositions that address the challenges facing marketing managers and organizations in three distinct domains: (1) Culture, Strategy, and Implementation; (2) Decision-Making and Ethics; (3) Customer Management. Our findings contribute to better understanding the human factor behind AI and ML, and aim to stimulate interdisciplinary inquiry across marketing, organizational behavior, psychology, and ethics. © 2022 The Authors",Artificial Intelligence; Decision- Making; Delphi Method; Ethics; Machine Learning; Marketing Management,Elsevier Inc.,scopus-ai,57,Not identified,"['Artificial Intelligence', 'Machine Learning', 'marketing', 'segmentation', 'personalization', 'decision-making', 'culture', 'strategy', 'implementation', 'decision-making', 'ethics', 'customer management']","The abstract discusses the potential applications and barriers of AI and ML in marketing without clearly fitting into the definitions of Mechanical AI, Thinking AI, or Feeling AI. While it touches on aspects of decision-making and customer understanding, it does not provide specific examples or applications that directly align with the outlined categories. Instead, it focuses on broader themes such as culture, strategy, and ethical considerations, which do not neatly fit into any single category.",20%,20%,30%,0%,30%
Rate of adoption determinants of innovations: A case study of digital terrestrial television,Vejlgaard H.,2018,10.1386/jdtv.9.1.7_1,"The rate of adoption of digital terrestrial television in Denmark was 100 per cent. In this article, an interdisciplinary approach is utilized to investigate this successful rate of adoption. Diffusion of innovation theory as well as services marketing theory and recent research on adoption of technology are integrated into the theoretical approach. The data gathering is twofold: a survey on the perceived attributes of the innovation was carried out and document data were gathered from government sources. This study shows that a 100 per cent rate of adoption can be achieved with (1) negative perception of the attributes of the innovation; (2) an authority innovation-decision; (3) use of mass communication and interpersonal communication channels; (4) communication in social networks that are not interconnected; and (5) active change agents on a comprehensive and large scale. The influence of the variables is discussed. © 2018 Intellect Ltd Article. English language.",Forecasting; Innovation diffusion; Innovation-decision; Prediction; Service innovation; Service theory,Intellect Ltd.,scopus-prediction,0,Not identified,[],"The abstract discusses the adoption of digital terrestrial television in Denmark through an interdisciplinary approach that integrates theories related to innovation and services marketing. While it touches on attributes of innovations and communication channels, it does not clearly align with the definitions of Mechanical AI, Thinking AI, or Feeling AI. The focus is more on the theoretical investigation of adoption rather than a specific application of AI in marketing.",0%,0%,0%,0%,100%
