Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified
IMPACT OF HORTICULTURE ON THE SUSTAINABLE LIVELIHOOD DEVELOPMENT OF SMALLHOLDERS: A SPAR-4-SLR & FUTURE RESEARCH AGENDA,Mukherjee D.; Jena L.K.; Chakraborty S.; Debnath R.; Hasan K.K.,2024,10.51599/ARE.2024.10.02.04,"Purpose. The perishable nature of the horticulture (fruits, vegetables, and flowers) industry makes it more complex to study. The higher return and nutritional benefits compared to traditional agricultural products expand the research scope for the stakeholders’ sustainable benefit. Nevertheless, despite limited research, this study explicitly examines additional facets of smallholder development beyond the traditional economic, social, and environmental dimensions. Methodology / approach. To fill this knowledge gap, we comprehensively reviewed 73 articles published between 2013 and 2022 in international scientific journals with an SJR (Scimago Journal & Country Rank) Q1 ranking. We followed the “Scientific Procedures and Rationales for Systematic Literature Reviews” (SPAR-4-SLR) protocol to identify different aspects of smallholders’ development. Literature from Web of Science and Scopus databases was analysed and organised using the TCCM (Theory, Context, Characteristics, and Methodology) framework. Results. The study identified important factors like infrastructure, commercialisation, market access, marketing, credit, policies, information, intervention, training, technology, and collaboration that could uncover crucial economic, political, social, psychological, ecological, cultural, physical and nutritional aspects of development in general. The study also suggests that implementation Agriculture 4.0 through advanced technologies like IoT, AI, and vertical and bio-fortification practices can help in sustainable livelihood development in horticulture. Originality / scientific novelty. The limited or lack of comprehensive studies on smallholders’ sustainable livelihood development with different dimensions makes this research a bridge to identify other dimensions instead of only focusing on the horticultural sector’s economic, social, and ecological aspects. It uses the Agricultural Innovation System and Farmer First theories, stating that the farmer is the first priority and must collaborate and interact to implement technology and innovations for smallholder livelihood development. Practical value / implications. This research will help in decision-making regarding smallholders’ livelihoods in all eight dimensions at all levels of government, private and other stakeholders, suggesting a triple-helix model. © 2024, Institute of Eastern European Research and Consulting. All rights reserved.",economics; horticulture; livelihood development; smallholders; sustainability; technology forecasting,Institute of Eastern European Research and Consulting,scopus-ai,0,Out of Scope,[],"The abstract focuses on the horticulture industry and smallholder development, emphasizing agricultural practices, sustainable livelihood, and technological interventions like AI and IoT. However, it does not directly relate to marketing activities or applications of AI in marketing, such as customer understanding, market analysis, or personalization. Therefore, it falls outside the defined categories.",0%,0%,0%,100%,0%
Critical Success Factors in AI Healthcare Industry Executing Service Marketing,Tsai W.-J.; Yao S.-H.,2024,10.33788/rcis.85.12,"The popularity of telecommute and telehealth care models as well as people’s changes in consumption patterns accelerate the transformation and reform of healthcare industry. Under the catalysis of real needs and technologies, smart healthcare will become the mainstream in the future. Under the specific time and space background, solutions for medical technology innovation has to keep pace with times. Current marketing strategies do not simply rely on external publicity, but also stress on the promotion of service quality for customers actually experiencing good service attitudes. Aiming at customers of AI healthcare industry as the questionnaire analysis objects, total 300 copies of questionnaire are distributed, and 241 valid copies are retrieved, with the retrieval rate 80%. The research results show that external marketing is the most emphasized dimension in AI healthcare industry executing service marketing, and top five indicators, among 12, are ordered information system, customer oriented service process, internal training, media communication, and regulations for service personnel. Finally, conclusions and suggestions are proposed according to the results, expecting to deeply understand critical success factors in AI healthcare industry executing service marketing and provide valuable information for AI healthcare industry making management decisions in the execution of service marketing. © 2024, Expert Projects. All rights reserved.",AI healthcare industry; critical success factor; healthcare; organizational goals; service marketing,Expert Projects,scopus-ai,0,Out of Scope,"['telehealth', 'healthcare industry', 'AI healthcare', 'service marketing']","The abstract discusses the transformation in the healthcare industry due to telecommute and telehealth models, focusing on smart healthcare and service marketing strategies specific to the AI healthcare sector. The primary emphasis is on medical technology innovation and service quality rather than direct marketing applications relevant to customer segmentation, market analysis, or emotional engagement typical of the defined categories. Therefore, it falls outside the scope of traditional marketing applications.",0%,0%,0%,100%,0%
The impact of artificial intelligence on intellectual capital development: Shifting requirements for professions and processes in the non-profit sector,Popescu C.R.G.; Šebestová J.D.,2024,10.24294/jipd.v8i10.3899,"The use of artificial intelligence (AI) is related to the dynamic development of digital skills. This article focuses on the impact of AI on the work of non-profit organizations that aim to help those around them. Based on 10 semi-structured interviews, it is presented here how it is possible to work with AI and in which areas it can be used—in social marketing, project management, routine bureaucracy. At the same time, workers and volunteers need to be educated in critical and logical thinking more than ever before. These days, AI is becoming more and more present in almost all the activities, bringing several benefits to those making use of it. On the one hand, by using AI in the day-to-day activities, the entities are able to substantially decrease their costs and have the advantage of being able to have, in most cases, a better and faster job done. On the other hand, those individuals that are more creative and more innovative in their line of work should not feel threatened by those situations in which organizations decide to use more AI technologies rather than human beings for the routine activities, since they will get the opportunity to perform tasks that truly require their intellectual capital and decision making abilities. © 2023 by author(s).",artificial intelligence; digital technologies; intellectual capital; non-profit; sustainable development,"EnPress Publisher, LLC",scopus-ai,2,Out of Scope,"['artificial intelligence', 'non-profit organizations', 'social marketing', 'project management', 'routine bureaucracy', 'cost reduction', 'decision making']","The abstract discusses the impact of artificial intelligence on non-profit organizations and their operations, such as social marketing and project management. However, it does not specifically relate to marketing in a commercial context or address customer emotions, market analysis, or targeted marketing strategies. Therefore, it falls outside the defined marketing categories.",0%,0%,0%,100%,0%
Machine learning techniques for coffee classification: a comprehensive review of scientific research,Motta I.V.C.; Vuillerme N.; Pham H.-H.; de Figueiredo F.A.P.,2025,10.1007/s10462-024-11004-w,"In the realm of agribusiness, transformative shifts are underway, propelled by the growing demands and expanding scales of grain production. This evolution calls for a critical reevaluation of the existing paradigms in coffee production and marketing paradigms, with a specific focus on integrating Artificial Intelligence (AI). This work aims to review, synthesize, and summarize the available data regarding how Machine Learning (ML) has been used to detect and classify characteristics in coffee beans and leaves. For this purpose, a comprehensive literature review of the most significant research contributions describing the application of AI for advanced classification techniques in coffee agriculture has been carried out. Our analysis suggests that implementing AI technologies allows the classification of coffee, encompassing various attributes such as maturity, roast intensity, disease identification, flavor profiles, and overall quality. More largely, this technological advancement holds the potential to revolutionize coffee farming by providing producers and agricultural specialists with sophisticated tools to enhance production efficiency, minimize costs, and improve the accuracy and confidence of their decision-making processes. The motivation for the literature review is to address the increasing global demands and evolving scales of grain production, particularly in coffee farming, by critically reevaluating existing paradigms and integrating AI techniques. This review aims to synthesize and summarize how ML has been utilized to detect and classify various characteristics of coffee beans and leaves, thereby highlighting the potential of AI to revolutionize coffee farming by enhancing production efficiency, minimizing costs, and improving decision-making accuracy. This article presents the latest studies in ML in the coffee area, observes the methodology used, and allows researchers to develop new solutions that cover gaps in the literature, open problems, challenges, and future trends, bringing a real contribution to the scientific field. Finally, this article gathers and presents the databases used in many studies, which may be useful for future ML projects. © The Author(s) 2024.",Artificial intelligence; Coffee beans and leaves classification; Computer vision; Machinelearning,Springer Nature,scopus-ai,1,Out of Scope,"['Artificial Intelligence', 'Machine Learning', 'coffee production', 'classification', 'agriculture', 'disease identification', 'quality', 'production efficiency']","The abstract discusses the application of AI and machine learning in the context of coffee agriculture, focusing on enhancing production efficiency and classification of coffee beans and leaves. It does not relate to marketing applications as defined in the categories, which concentrate on customer data, market analysis, or emotional engagement. Therefore, it is classified as 'Out of Scope'.",0%,0%,0%,100%,0%
Glyphosate and Roundup® Ready Effects in Hydra viridissima: New Data in an Old Issue,Venâncio C.; Barbosa C.; Lopes I.,2023,10.3390/su151612428,"Herbicides are used worldwide to protect agricultural crops, glyphosate being among the most frequently applied. In 2019 the European Commission approved the use of this herbicide for another 5 years and is now preparing its re-authorization for marketing. It is known that glyphosate (an active ingredient—AI) is usually less toxic than its commercial formulations, which may be related to adjuvants presents in such formulas. In this context, this work aimed to evaluate and compare the effects of glyphosate, as the commercial formulation Roundup® Ready (RR), and the AI in the Hydra viridissima life cycle, namely: mortality, morphology, feeding, reproduction, and regeneration. To attain this goal, H. viridissima was exposed to an environmentally relevant concentration of glyphosate (5.2 mg AI/L, both for RR and the AI) and to its culture medium (control). The mortality was lower than 0.03% for both RR and AI. Regarding morphological alterations, these were more severe on organisms exposed to RR, while a high recovery capacity in hydras exposed to AI was observed. No hydra was able to completely regenerate its body parts when exposed to RR, while 95% of the organisms exposed to AI were able to regenerate completely. The feeding rates of hydras exposed to RR decreased by from ~20% to ~50% compared to AI. As for reproduction, hydras exposed to RR released ~70% less buds than those exposed to AI. These timely results suggest that adjuvants present in the commercial formulation of glyphosate may cause higher toxicity to biota than the AI at environmentally relevant concentrations. Though the commercial formulation exerted higher toxicity in hydra, the effects AI induced in the morphology of the hydra cannot be disregarded, suggesting that a deeper understanding on the long-term toxicity of this AI is still needed to further support the decision on its marketing authorization and environmentally safe use. © 2023 by the authors.",environmentally relevant; green hydra; herbicide; life cycle parameters; plant protection products,Multidisciplinary Digital Publishing Institute (MDPI),scopus-ai,3,Out of Scope,[],"The abstract discusses the effects of glyphosate and its commercial formulation on the life cycle of Hydra viridissima, focusing on biological and ecological impacts rather than marketing applications. It does not relate to data collection, market analysis, customer understanding, or any marketing strategies.",0%,0%,0%,100%,0%
The use of Artificial Intelligence and the Internet of Things in forecasting the market and economy,Putra W.; Priowirjanto E.S.; Ramli A.; Dwiyanasari D.; Herlina D.,2023,10.21003/ea.V205-05,"The purpose of this research was to investigate artificial intelligence (AI) and its applications in predicting financial markets. The acceptance of systems and the presence of AI in financial markets and in a way the application of AI in financial markets has grown significantly and this work is possible with the abundance of available data and the affordability of computing capacity. In fact, with the development of digital technology and the increasing growth of AI technology, the use of AI in financial markets has also increased, and the role of companies and their economic structures are changing rapidly. The present research is a survey in terms of data collection. The statistical community is the research of financial companies based on the web, the number of 225 people were selected using the Cochran formula and in the available form. The validity of the factors research was confirmed by the experts and Cronbach’s alpha was used to confirm the reliability of the research. The research findings showed that AI and the Internet of Things (IoT) have a positive and meaningful effect in creating customer and user knowledges. Also, the creation of knowledge from the foreign market, has a positive and meaningful effect on logical marketing decision-making, economy and market prediction. © CC BY 4.0.",AI; Artificial Intelligence; Customer; Economy; Internet of Things; IoT; Marketing; User Knowledge,Institute of Society Transformation,scopus-ai,1,Out of Scope,"['artificial intelligence', 'financial markets', 'predicting', 'data', 'customer knowledge', 'market prediction']","The abstract discusses the application of artificial intelligence in predicting financial markets and enhancing decision-making in economic structures, which is primarily related to the financial services sector rather than marketing. While it mentions customer knowledge creation, it does not specifically address marketing strategies or practices. Thus, it falls under the category of 'Out of Scope' as it does not relate to marketing applications.",0%,0%,0%,100%,0%
TRADEMARKS IN AN ALGORITHMIC WORLD,Farley C.H.,2023,,"According to the sole normative foundation for trademark protection—“search costs” theory—trademarks transmit useful information to consumers, enabling an efficient marketplace. The marketplace, however, is in the midst of a fundamental change. Increasingly, retail is virtual, marketing is data-driven, and purchasing decisions are automated by AI. Predictive analytics are changing how consumers shop. Search costs theory no longer accurately describes the function of trademarks in this marketplace. Consumers now have numerous digital alternatives to trademarks that more efficiently provide them with increasingly accurate product information. Just as store shelves are disappearing from consumers’ retail experience, so are trademarks disappearing from their product search. Consumers may want to buy a product where the brand is the essential feature of the product such that the brand is the product, but they no longer need the assistance of a trademark to find the product. By reflexively continuing to protect trademarks in the name of search costs theory, courts give only lip service to consumer interests without questioning whether trademarks are fulfilling any useful information function. In many cases, trademarks may actually misinform consumers by masking the identity of the producer or its distanced relationship with the trademark owner. Without having deliberately decided to do so, trademark law is now protecting “brands as property” without any supportive normative rationale. Removing the veil of search costs theory will enable courts to consider whether trademark protection is justified in particular cases. © 2023, University of Washington School of Law. All rights reserved.",,University of Washington School of Law,scopus-ai,1,Out of Scope,[],"The abstract discusses the evolution of trademark law in the context of changing market dynamics and the impact of AI on consumer behavior. However, it does not focus on marketing applications of AI, such as data collection, market analysis, or customer understanding. Instead, it critiques legal frameworks without direct relevance to marketing strategies or AI applications, placing it outside the defined categories.",0%,0%,0%,100%,0%
Modern Artificial Intelligence Technologies as a tool of transformation of Value Chains of Russian Commercial banks,Pokamestov I.E.; Nikitin N.A.,2024,10.26794/2587-5671-2024-28-4-122-135,"The object of the study is the value chain of the bank. The purpose of the study is to identify the possibility of applying artificial intelligence (AI) technologies in the value chain stages of commercial banks and transform value chains under the influence of these technologies. It uses both general scientific methods — analysis, synthesis, abstraction, induction and deduction, and graphical and statistical analysis, the methodology of value chain creation. The main approaches to the formation of the value chain in the banking industry, as well as the key characteristics of the business processes included in it, were studied. Particular attention is paid to the technological component as the basis for the development of modern digital banking. During the research, the main directions for the implementation of modern artificial intelligence technologies, both applied and generative. Analysis of the value chain showed that the creation and use of AI models is an independent supporting process, the work of which not only affects the core activities of the bank, but also requires a certain level of technology development and risk-management in the bank. Data from the AI Russia case library demonstrates the actual impact of AI models on the value chain phases of marketing and sales, customer support and communications, operational processing and risk management. Based on the results of the study, it was concluded that the introduction of innovations in the field of artificial intelligence increases the value of the company by increasing the efficiency of business processes. The introduction of artificial intelligence into processes requires the technological maturity of the enterprise, and its use is an independent technological process that requires the participation of auxiliary processes, for example, risk management. The results of the study are of practical importance for companies in the banking industry, since methods for analyzing the impact of AI technologies on the value chain can be used when making decisions about their implementation. © Pokamestov I.Е., Nikitin N.А., 2024.",artificial intelligence; banking industry; generative models; value chain,Financial University under The Government of Russian Federation,scopus-ai,0,Out of Scope,"['artificial intelligence', 'value chain', 'banking industry', 'business processes', 'risk management']","The abstract discusses the application of artificial intelligence technologies specifically within the banking sector, focusing on the value chain and its stages rather than marketing applications. While it touches on the impact of AI on marketing and sales, the primary context is about improving banking operations and processes, which does not align with the specified marketing-related categories.",0%,0%,0%,100%,0%
Impact of artificial intelligence on aeronautics: An industry-wide review,Zaoui A.; Tchuente D.; Wamba S.F.; Kamsu-Foguem B.,2024,10.1016/j.jengtecman.2024.101800,"Curiously, there are few contributions in the scientific literature on the subject of artificial intelligence (AI) and its impact on aeronautics. However, many communications and reports have been published by aeronautic companies about their applications of AI technologies. This article makes an industry-wide review of AI in aeronautics using a three-step sequential approach: (i) a review of AI and its concepts to define and develop a conceptual map; (ii) a selection of 100 use cases from aeronautics companies that use AI technologies (e.g., Airbus, Boeing, Air France, Safran, EasyJet, Dassault Aviation, Altair); and (iii) an analysis of the use cases using the topics defined in the conceptual map. The main results describe a rising interest in the integration of AI technologies by entities in the aeronautic sector. Moreover, the results from the use cases show that the most recurrent technologies are big data analytics, autonomous intelligent systems, predictive analytics, machine learning, and robotics. Another finding is related to the several benefits that motivate companies to integrate AI technologies into their industrial and operational processes. The most frequent benefits include customer satisfaction, saving time, safety and security, cost reduction, better decision making, solving complex problems, and ensuring optimisation and efficiency. It also appears that the performance of companies is positively impacted by using these AI technologies. Such impacts span all operational departments including marketing, where these technologies help satisfy customer needs; the industrial and operational area, which is provided with quality products; and where productivity and economic performance are optimised for more efficiency. © 2024 The Authors",Aeronautics; Artificial Intelligence; Benefits; Performance; Use cases,Elsevier B.V.,scopus-ai,7,Out of Scope,"['artificial intelligence', 'aeronautics', 'use cases', 'big data analytics', 'predictive analytics', 'machine learning', 'customer satisfaction', 'cost reduction', 'operational processes']","The abstract discusses the integration of AI technologies in the aeronautics sector, focusing on operational improvements, technology applications, and benefits such as customer satisfaction and cost reduction. However, these applications are not directly related to marketing practices as defined in the categories, which focus more on customer engagement and marketing analytics. The context is primarily industrial and operational, hence it does not fit into any of the defined marketing AI categories.",0%,0%,0%,100%,0%
Public perceptions of artificial intelligence in healthcare: ethical concerns and opportunities for patient-centered care,Witkowski K.; Okhai R.; Neely S.R.,2024,10.1186/s12910-024-01066-4,"Background: In an effort to improve the quality of medical care, the philosophy of patient-centered care has become integrated into almost every aspect of the medical community. Despite its widespread acceptance, among patients and practitioners, there are concerns that rapid advancements in artificial intelligence may threaten elements of patient-centered care, such as personal relationships with care providers and patient-driven choices. This study explores the extent to which patients are confident in and comfortable with the use of these technologies when it comes to their own individual care and identifies areas that may align with or threaten elements of patient-centered care. Methods: An exploratory, mixed-method approach was used to analyze survey data from 600 US-based adults in the State of Florida. The survey was administered through a leading market research provider (August 10–21, 2023), and responses were collected to be representative of the state’s population based on age, gender, race/ethnicity, and political affiliation. Results: Respondents were more comfortable with the use of AI in health-related tasks that were not associated with doctor-patient relationships, such as scheduling patient appointments or follow-ups (84.2%). Fear of losing the ‘human touch’ associated with doctors was a common theme within qualitative coding, suggesting a potential conflict between the implementation of AI and patient-centered care. In addition, decision self-efficacy was associated with higher levels of comfort with AI, but there were also concerns about losing decision-making control, workforce changes, and cost concerns. A small majority of participants mentioned that AI could be useful for doctors and lead to more equitable care but only when used within limits. Conclusion: The application of AI in medical care is rapidly advancing, but oversight, regulation, and guidance addressing critical aspects of patient-centered care are lacking. While there is no evidence that AI will undermine patient-physician relationships at this time, there is concern on the part of patients regarding the application of AI within medical care and specifically as it relates to their interaction with physicians. Medical guidance on incorporating AI while adhering to the principles of patient-centered care is needed to clarify how AI will augment medical care. © The Author(s) 2024.",Artificial intelligence; Patient-centered care; Patient-physician relationship; Public perception,BioMed Central Ltd,scopus-ai,7,Out of Scope,"['patient-centered care', 'artificial intelligence', 'medical care', 'human touch', 'decision-making control']","The abstract discusses the implications of artificial intelligence in the context of medical care and patient-centered approaches. The focus on healthcare, patient interactions, and the emotional aspects of patient-provider relationships does not align with marketing applications. Therefore, it is classified as 'Out of Scope'.",0%,0%,0%,100%,0%
