Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified
The Role of AI in Enhancing Marketing Communication: Implications for Policy and Development in Indonesian Higher Education,Isnaini S.; Muslimin A.I.,2024,10.11114/smc.v12i4.7013,"This research delves into the transformative impact of Artificial Intelligence (AI) on marketing communication within the Indonesian higher education sector. By adopting advanced AI technologies like machine learning algorithms, universities aim to enhance customer engagement, understand student behavior, and personalize marketing strategies. The study combines quantitative data, showcasing the extent of AI adoption and its outcomes, with qualitative insights to highlight the effectiveness of AI in improving key marketing metrics. Post-AI integration, there were significant increases in student inquiries, application rates, and enrollment numbers, underscoring the tangible benefits of AI-driven marketing strategies. The findings emphasize the strategic shift towards data-driven decision-making and personalized engagement, positioning Indonesian universities at the forefront of innovative marketing practices. This research contributes valuable insights for academia, industry practitioners, and policymakers looking to leverage AI for strategic marketing initiatives in higher education. © 2024 Redfame Publishing Inc.. All rights reserved.",artificial intelligence; development; higher education; marketing communication; policy,Redfame Publishing Inc.,scopus-ai,0,Thinking AI,"['Artificial Intelligence', 'marketing communication', 'customer engagement', 'student behavior', 'personalize', 'data-driven decision-making', 'enrollment numbers', 'marketing metrics']","The abstract discusses the use of Artificial Intelligence in enhancing marketing strategies within the Indonesian higher education sector, focusing on customer engagement, understanding student behavior, and personalizing marketing efforts. This aligns with the 'Thinking AI' category, particularly in market analysis and personalization of marketing strategies based on data insights. The mention of significant increases in student inquiries and enrollment further supports a strategic analysis of marketing effectiveness.",10%,30%,60%,0%,0%
THE IMPACT OF BRAND-VOICE INTEGRATION AND ARTIFICIAL INTELLIGENCE ON SOCIAL MEDIA MARKETING,Murár P.; Kubovics M.; Jurišová V.,2024,10.34135/COMMUNICATIONTODAY.2024.VOL.15.NO.1.4,"Corporate identity plays an important role in the success and competitiveness of businesses in today’s dynamic business environment. It encompasses brand identity, organisational culture, values, and reputation, and is key in building relationships with stakeholders. An ethical corporate identity, in particular the perception of a company as ethical and socially responsible, positively influences employee behaviour and engagement. Artificial Intelligence (AI) has revolutionised business management and offers innovative solutions to improve decision-making, efficiency, and transparency. Integrating AI into corporate governance can improve risk management, compliance, and accountability. In the digital age, social media are key in building and maintaining the brand voice of businesses. With the advent of AI, new tools such as Chat GPT have emerged to simplify and accelerate content creation, including social media posts. However, achieving satisfactory brand-voice results using AI requires careful analysis and extensive, representative data that travels into the prompter. Although AI-generated content is fast, it should be vetted by experienced experts to ensure it aligns with brand values and brand image. Although Chat GPT promises to generate content and brand-voice, its successful use requires collaboration with experienced experts and thoughtful consideration of its use in building and maintaining an authentic and effective brand-voice. © (2024), (University of SS. Cyril and Methodius). All Rights Reserved.",artificial intelligence; brand communication; brand perception; brand-voice integration; social media marketing,"University of SS. Cyril and Methodius, Faculty of Mass Media Communication",scopus-ai,3,Thinking AI,"['corporate identity', 'brand identity', 'employee behaviour', 'AI', 'decision-making', 'compliance', 'social media', 'content creation', 'brand voice', 'data analysis']","The abstract discusses the integration of AI into corporate governance, which aligns with the strategic analysis and decision-making aspects of marketing, indicating a focus on improving risk management and accountability. It also highlights the importance of understanding brand identity and how AI can assist in maintaining a brand voice through innovative content creation. The emphasis on ethical corporate identity and its influence on employee behaviour suggests a consideration of positioning and targeting in the marketing context, further supporting its classification under Thinking AI.",10%,10%,80%,0%,0%
Fog Computing-Based Smart Consumer Recommender Systems,Hornik J.; Ofir C.; Rachamim M.; Graguer S.,2024,10.3390/jtaer19010032,"The latest effort in delivering computing resources as a service to managers and consumers represents a shift away from computing as a product that is purchased, to computing as a service that is delivered to users over the internet from large-scale data centers. However, with the advent of the cloud-based IoT and artificial intelligence (AI), which are advancing customer experience automations in many application areas, such as recommender systems (RS), a need has arisen for various modifications to support the IoT devices that are at the center of the automation world, including recent language models like ChatGPT and Bard and technologies like nanotechnology. This paper introduces the marketing community to a recent computing development: IoT-driven fog computing (FC). Although numerous research studies have been published on FC “smart” applications, none hitherto have been conducted on fog-based smart marketing domains such as recommender systems. FC is considered a novel computational system, which can mitigate latency and improve bandwidth utilization for autonomous consumer behavior applications requiring real-time data-driven decision making. This paper provides a conceptual framework for studying the effects of fog computing on consumer behavior, with the goal of stimulating future research by using, as an example, the intersection of FC and RS. Indeed, our conceptualization of the “fog-based recommender systems” opens many novel and challenging avenues for academic research, some of which are highlighted in the later part of this paper. © 2024 by the authors.",artificial intelligence (AI); edge computing; fog computing; internet of things (IoT); recommender system; software defined networks (SDNs),Multidisciplinary Digital Publishing Institute (MDPI),scopus-ai,0,Thinking AI,"['fog computing', 'recommender systems', 'consumer behavior', 'data-driven decision making', 'IoT', 'automation', 'customer experience']","The abstract discusses the implications of fog computing on consumer behavior and its intersection with recommender systems, which aligns with the strategic analysis and targeting aspects of Thinking AI. The focus on improving bandwidth utilization for real-time decision-making in marketing also highlights the analytical and targeted nature of the proposed research.",0%,25%,75%,0%,0%
Evaluation of Enterprise Management Value Chain: Value Co-Creation in the Era of Artificial Intelligence,Alqahtani K.M.,2023,10.33168/JLISS.2023.0418,"Artificial intelligence is a technology that simulates human intelligence by simulating human learning, reasoning, decision-making, and problem-solving abilities through computer systems. In recent years, the rapid development and widespread application of AI have had a profound impact on enterprise management. Enterprise management is no longer limited to traditional manual decision-making and processes, but has been endowed with more efficient and intelligent methods through AI technology. The value co creation theory has completely changed the management methods of modern enterprises, transforming them from simple value carriers to active value co creators. In this situation, enterprise value chain management requires strategic enhancement, optimized design, functional management, and reputation management to adapt to these changes. The emergence of artificial intelligence as the core of the new industrial revolution further amplifies the importance of these adaptations. Under the guidance of value co creation theory, this article analyzes and explores the structure, characteristics, and transformation of enterprise value chains. Explored the management strategies of enterprise value chains, with a particular focus on the composition of consumer centered value chains. In addition, it also studied the use of artificial intelligence to deepen the enterprise management value chain, strengthen its architecture through artificial intelligence technology, and design an effective enterprise management system. Considering the changes in the business model of the entire value chain system, the transformation mechanism of artificial intelligence in the enterprise value chain was studied. Integrating neural network algorithms into enterprise management systems can achieve optimization and form a new enterprise management value chain. Empirical experiments and surveys have proven the effectiveness of the new value chain, significantly improving customer satisfaction (11.45%), customer experience satisfaction (13.61%), enterprise marketing satisfaction (11.73%), and enterprise service satisfaction (10.63%). © 2023, Success Culture Press. All rights reserved.",artificial intelligence; enterprise management; intelligent internet; value co-creation,Success Culture Press,scopus-ai,1,Thinking AI,"['artificial intelligence', 'enterprise management', 'value chain management', 'strategic enhancement', 'consumer centered value chains', 'optimization', 'customer satisfaction', 'empirical experiments']","The abstract discusses the transformation of enterprise management through artificial intelligence, particularly focusing on the strategies for managing value chains and enhancing customer satisfaction. It highlights the optimization of management systems and the use of AI for strategic analysis and improvements in customer-related metrics, which align closely with the 'Thinking AI' category that emphasizes market analysis and targeting.",10%,10%,80%,0%,0%
Factors affecting users’ brand awareness through social media marketing on TikTok,Nguyen C.; Tran T.; Nguyen T.,2024,10.21511/im.20(1).2024.11,"TikTok is increasingly influential in promoting brand awareness and boosting purchase intention. From a social media marketing perspective, brand awareness significantly influences consumers’ purchasing decisions. The primary objective of this study is to investigate and measure the factors influencing the brand awareness of TikTok users through social media marketing communications. The paper employs exploratory factor analysis, Cronbach’s Alpha test, and regression analysis to test the hypotheses. 24 observed variables were divided into six groups. Each variable was assessed using a 5-point Likert scale. The sample size includes 240 valid responses from TikTok users collected via convenience sampling. The questionnaire was distributed to TikTok users from Vietnam via the link on Google Forms. The collected data were processed by SPSS 20 software. The results suggest that six independent variables positively affect brand recognition via social media marketing on TikTok, with a 95% confidence interval at Sig. = 0.000 (0.05). Each of the six variables positively impacts initial expectations and is statistically significant at 1%. The results show that trends (Beta = 0.299) are the most decisive factors impacting brand awareness of TikTok users. Besides, electronic word of mouth (Beta = 0.242), influencer (Beta = 0.220), entertainment (Beta = 0.206), interaction (Beta = 0.200), and storytelling (Beta = 0.179) also positively affect the brand awareness of TikTok users. Limitations and further research suggest that marketers should investigate the role of artificial intelligence (AI) in the consumer’s brand awareness-constructing process. © Cuong Nguyen, Thao Tran, Tien Nguyen, 2024.",brand; e-WOM; entertainment; influencer; interactivity; marketing communications; storytelling; trends,LLC CPC Business Perspectives,scopus-ai,1,Thinking AI,"['brand awareness', 'purchase intention', 'social media marketing', 'influencer', 'electronic word of mouth', 'interaction', 'storytelling']","The abstract discusses the factors influencing brand awareness among TikTok users, emphasizing the role of social media marketing in shaping purchasing decisions. This aligns with the focus of Thinking AI on market analysis and targeting by identifying variables that impact brand recognition and consumer behavior. The research employs statistical analysis to draw conclusions about the effectiveness of different marketing strategies, which is indicative of strategic analysis within marketing.",10%,0%,90%,0%,0%
Generative Adversarial Networks in Fashion Retailing and Customer Purchase Intention: An Extension of Theory of Consumption Value,Das P.; Das S.,2024,10.1177/09722629241291731,"The emergence of generative adversarial networks (GANs) in marketing, a component of artificial intelligence (AI) technology, has the potential to influence customer behaviour in a variety of ways. In various contexts, the theory of consumption value (TCV) has elucidated customer behaviour. Few studies have applied TCV to GAN in marketing, particularly in fashion retailing. To close the gap, this study extends TCV to GAN-fashion retailing. A mixed research approach began with a 12-participant explorative focus group discussion to identify factors and develop the questionnaire. Second, we conducted a stratified random sampling-based cross-sectional survey and distributed the questionnaire to 258 diverse respondents. Analytical methods included structural equation modelling. It is discovered that decision-intelligent infrastructure (representing functional value) was a major driver of purchase intention in the GAN-fashion retailing context. This study has also found contradictory results and also discussed the reasons behind them. Overall, this has contributed in both the theoretical area, by extending the TCV framework in GAN-fashion retailing, and the managerial area, by making some suggestions. Also, it has opened up many new avenues for future study in the GAN-fashion retailing context. © 2024 MDI.",Artificial Intelligence; GAN-Fashion Retailing; Generative Adversarial Networks (GAN); Theory of Consumption Value (TCV),Sage Publications India Pvt. Ltd,scopus-ai,0,Thinking AI,"['customer behaviour', 'purchase intention', 'functional value', 'market analysis', 'theory of consumption value']","The abstract discusses the application of the theory of consumption value (TCV) in the context of generative adversarial networks (GANs) within fashion retailing. It emphasizes understanding customer behavior and factors influencing purchase intention, which aligns with market analysis and targeting strategies in marketing analytics. The focus on decision-intelligent infrastructure as a major driver also suggests strategic analysis rather than emotional or mechanical aspects.",10%,15%,65%,0%,10%
Demonstrating and communicating artificial intelligence brand capabilities: Amazon Web Services sponsorship with the National Football League,Fortunato J.A.; Kosterich A.,2024,10.1108/IJSMS-03-2024-0065,"Purpose: As artificial intelligence (AI) continues to influence sports league and team operations, the brands providing these services are sponsoring sports properties to demonstrate and communicate their performance capabilities. This article examines Amazon Web Services (AWS) sponsorship with the National Football League (NFL). This sponsorship features functional congruence, which is when a sponsor has a participatory role in performing services for the property. Design/methodology/approach: The AWS sponsorship with the NFL is captured by examining specially created websites, in-game sponsored elements, and television commercials aired during the broadcast of NFL games. The AWS website focuses on the services profiled in this article. Findings: AWS provides the NFL with performance-based (on-the-field) and business-based (off-the-field) services. Of particular note, AWS capabilities help the NFL create the game schedule and address the issue of player health and safety. Demonstrating functional congruence appears to be especially valuable in business-to-business marketing where purchase decisions are more focused on brand reliability. AWS television commercials feature the tagline, “if AWS can do this for the NFL, imagine what it can do for your business.” Originality/value: With the role of AI in sports in its relative infancy, it is imperative to document what services AI brands are performing for a professional sports league. Examining AWS sponsorship with the NFL provides a timely, practical example of how an AI brand communicates and positions itself using sponsorship as a marketing strategy. © 2024, Emerald Publishing Limited.",Amazon Web Services; Artificial intelligence; Business-to-business marketing; NFL; Sponsorship,Emerald Publishing,scopus-ai,1,Thinking AI,"['sponsorship', 'performance-based services', 'business-based services', 'market strategy', 'positioning', 'brand reliability']","The abstract discusses how Amazon Web Services (AWS) uses its sponsorship with the NFL to showcase its capabilities in both performance and business services, which aligns with market analysis and positioning strategies. The use of the tagline in AWS commercials emphasizes the strategic targeting of businesses by demonstrating AWS's value through its partnership with the NFL, indicating a focus on market analysis and targeting.",0%,0%,100%,0%,0%
"Artificial Intelligence in Hospitality and Tourism: Insights From Industry Practices, Research Literature, and Expert Opinions",Kim H.; So K.K.F.; Shin S.; Li J.,2025,10.1177/10963480241229235,"Given that artificial intelligence (AI) is significantly transforming businesses, it is crucial to examine how AI will change the future of the hospitality and tourism industry. By integrating multiple data sources (i.e., practitioner literature, research literature, and expert opinions), we suggest three trends constituting opportunities and challenges (AI applications in different business sectors, primary AI functions, emerging AI topics), three possible themes of change (adoption and acceptance, operations management, AI in marketing), as well as four directions for future research (AI interaction, AI and organizational decision making, organizational implications, and managerial issues). Our findings present a detailed picture of AI development and applications along with predictions regarding its place in the industry. Finally, we outline a research agenda that addresses key issues for stakeholders in hospitality and tourism: individuals, including customers and employees; organizations and businesses; and public policymakers and governments. © The Author(s) 2024.",artificial intelligence; evolution; future; hospitality; tourism,SAGE Publications Inc.,scopus-ai,21,Thinking AI,"['AI applications', 'market', 'adoption', 'operations management', 'AI in marketing', 'decision making', 'research agenda']","The abstract discusses how AI will change the hospitality and tourism industry, with a focus on AI applications in marketing, operations management, and decision-making. This aligns closely with the Thinking AI category, which emphasizes market analysis, targeting, and personalization. Specifically, it highlights the need for organizations to adapt to AI technologies and consider their implications, which resonates with strategic analysis and competitive advantages in marketing.",10%,20%,60%,0%,10%
Using PLS-SEM and XAI for causal-predictive services marketing research,Goktas P.; Dirsehan T.,2025,10.1108/JSM-10-2023-0377,"Purpose: This study aims to redefine approaches to metrics in service marketing by examining the utility of partial least squares – structural equation modeling (PLS-SEM) and eXplainable Artificial Intelligence (XAI) for assessing service quality, with a focus on the airline industry. Design/methodology/approach: Using the Airline Passenger Satisfaction data set from Kaggle platform, this study applies PLS-SEM, facilitated by ADANCO software and XAI techniques, specifically using the SHapley Additive exPlanations TreeExplainer model. This study tests several hypotheses to validate the effectiveness of these methodological tools in identifying key determinants of service quality. Findings: PLS-SEM analysis categorizes key variables into Delay, Airport Service and In-flight Service, whereas XAI techniques rank these variables based on their impact on service quality. This dual-framework provides businesses a detailed analytical approach customized to specific research needs. Research limitations/implications: This study is constrained by the use of a single data set focused on the airline industry, which may limit generalizability. Future research should apply these methodologies across various sectors to enhance a broader applicability. Practical implications: The analytical framework offered here equips businesses with the robust tools for a more rigorous and nuanced evaluation of service quality metrics, supporting informed strategic decision-making. Social implications: By applying advanced analytics to refine service metrics, businesses can better meet and exceed customer expectations, ultimately elevating the societal standard of service delivery. Originality/value: This study contributes to the ongoing discourse on artificial intelligence interpretability in business analytics, presenting an innovative methodological guide for applying PLS-SEM and/or XAI in service marketing research. This approach delivers actionable insights, not only in the airline sector but also across diverse business domains seeking to optimize service quality. © 2024, Polat Goktas and Taskin Dirsehan.",Artificial intelligence (AI); Business analytics; Customer value; eXplainable artificial intelligence (XAI); Partial least squares (PLS); PLS-SEM; Service marketing; Service quality,Emerald Publishing,scopus-ai,0,Thinking AI,"['service quality', 'market analysis', 'strategic decision-making', 'determinants', 'customer expectations']","The abstract discusses the use of advanced analytical methods (PLS-SEM and XAI) to assess service quality in the airline industry. This aligns with the category of Thinking AI, which focuses on market analysis and strategic insights. The study aims to identify key determinants of service quality and provide actionable insights for businesses, which indicates a strategic analysis rather than just data collection or emotional understanding.",5%,10%,85%,0%,0%
"The adoption of artificial intelligence powered workforce management for effective revenue growth of micro, small, and medium scale enterprises (MSMEs)",Kumar M.; Raut R.D.; Mangla S.K.; Ferraris A.; Choubey V.K.,2024,10.1080/09537287.2022.2131620,"Artificial intelligence (AI) has been used in various industries to provide innovative and intelligent features in micro, small and medium enterprises (MSMEs). Big industries started adopting AI for their HR and workforce management (WFM) activities, however, past literature suggests a lack of AI adoption in MSMEs. In the ongoing pandemic, a large number of job loss is reported in the literature. Thus, artificial intelligence-powered intelligent workforce management (WFM) may be critical during or post-pandemic to manage the huge employment in MSMEs. In this study, we develop and test a conceptual framework based on three areas where AI-powered WFM adoption for MSMEs revenue development has been highlighted. These are (a) risk management (workforce), (b) business and marketing, and (c) information exchange. Six hypotheses have been proposed and tested using structural equation modelling (SEM) with responses from 307 employees. According to the research findings, all of the offered hypotheses are significant. The findings suggest to MSME decision-makers that AI-powered WFM may help revenue growth, workforce risk reduction, intelligent business and marketing, and thoughtful, innovative, and safe information exchange. MSMEs are required to use AI in the information sharing that help in workforce risk management, business and marketing, and intelligent workforce management that scale-up the economic growth. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",Artificial intelligence; business intelligence; intelligent information sharing; micro small and medium scale enterprises (MSMEs); risk intelligence,Taylor and Francis Ltd.,scopus-ai,24,Thinking AI,"['artificial intelligence', 'workforce management', 'risk management', 'business', 'marketing', 'information exchange', 'revenue growth']","The abstract discusses the adoption of AI in workforce management, particularly in the context of micro, small, and medium enterprises (MSMEs). It emphasizes the importance of AI in areas such as risk management and intelligent business and marketing, which aligns with the focus on market analysis and strategic targeting of Thinking AI. The findings suggest that AI can aid in revenue development and informed decision-making, reflecting the analytical aspects of Thinking AI.",0%,0%,100%,0%,0%
A Primer on Out-of-the-Box AI Marketing Mix Models,Estevez M.; Ballestar M.T.; Sainz J.,2025,10.1109/TEM.2024.3519172,"Marketing mix modeling (MMM) optimizes budget allocation and determines the return on advertising investment through market response analysis. MMM are vital tools to help marketers define their marketing strategies according to the firm's business and marketing objectives while reducing uncertainty in the decision-making process. As AI and automated MMM out-of-the-box packages gain popularity among marketers, it has become evident there is a theoretical and empirical gap in the understanding of the benefits and inconveniences of these new methods over traditional econometric models. To shed light on these questions, two different models using the same database from a telecommunications firm have been developed and tested using a traditional econometric model and Robyn, an AI-powered open-sourced MMM package from meta marketing science. The research compares both methods' development processes and subsequent outputs from different perspectives: technical, business, and practical. It shows the advantages and shortcomings of each, providing insightful recommendations for academics and practitioners to navigate through the process of adoption of econometric and AI models for budget allocation decision-making. Econometric models are easy to explain and replicate, while AI complexity from the combination of several methods, their parametrization, and the random initialization of iterations during training, hinders its explainability. © 1988-2012 IEEE.",Artificial intelligence; data analytics; machine learning; marketing analytics; marketing mix modeling,Institute of Electrical and Electronics Engineers Inc.,scopus-ai,0,Thinking AI,"['budget allocation', 'return on advertising investment', 'market response analysis', 'marketing strategies', 'econometric models', 'AI-powered models', 'business objectives', 'data analysis']","The abstract discusses marketing mix modeling (MMM) in the context of optimizing budget allocation and determining return on investment through market response analysis. This aligns with the focus on market analysis and strategic decision-making found in the Thinking AI category. The comparison between traditional econometric models and AI-powered models also reflects an analytical approach to identifying advantages and shortcomings in marketing strategies. Thus, the classification fits well within Thinking AI.",0%,0%,100%,0%,0%
