Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic
INTEGRATED SMART INDUSTRY 4.0-BASED DECISION SUPPORT FOR OPTIMIZING TACTICAL-OPERATIONAL DECISIONS: CASE STUDY,Bagheri H.; Ghavareshki M.H.K.; Abbasi M.; Fazlollahtabar H.,2025,10.3934/jimo.2024105,"The paper considers a model for an intelligent sales-distribution network that makes decisions related to marketing, inventory control, and pricing in the entire network. Considering the importance of staying in the competitive world, using machine learning tools is of great importance. A decision support system has been used to forecast the demand. Actual sales data is inserted into the decision support system, and then, using available evidence and past performance, a decision is made to estimate the demand. Then, an intelligent algorithm for solving the mathematical model is raised, which performs the model real-time using the data received from the decision support system and provides updated results. Sensitivity analysis was performed for validation. According to the obtained results, intelligent has a great impact on the objective function values and the use of real data helps in the network performance leading to cost reduction and lost sales. Two innovations used have not been investigated simultaneously in any of the previous studies. © (2025), (American Institute of Mathematical Sciences). All rights reserved.",Decision support system; IIntegrated manage; Inventory; Pricing; Smart distribution and sales network,American Institute of Mathematical Sciences,scopus-machine learning,0,Mechanical AI,"['intelligent sales-distribution network', 'decision support system', 'forecast the demand', 'real-time', 'data', 'cost reduction', 'inventory control', 'pricing']","The abstract discusses a model for an intelligent sales-distribution network that employs machine learning tools for decision-making in marketing, inventory control, and pricing. The focus is on automating processes related to demand forecasting and using real sales data to make informed decisions, which aligns with the definitions of Mechanical AI that involve automating processes and using data collection. There is less emphasis on analysis or emotional understanding typically associated with Thinking or Feeling AI.",0%,70%,20%,0%,10%,,Decision support
A decision support system to evaluate the quality and warranty policies for remanufactured products,Kuik S.; Ban J.; Diong L.; Qi X.,2023,10.1108/TQM-02-2022-0046,"Purpose: This paper proposes optimisation models to evaluate and examine the selling of extended warranty policies in terms of improved profits in producing/marketing remanufactured products. These models are numerically solved using a quadratic programming solution approach and implemented in the decision support system (DSS). Design/methodology/approach: The purpose of this paper is to develop the optimisation models for a DSS and evaluate different warranty policies for buyers. Findings: This study has demonstrated the flexibility and usefulness of a model-driven DSS for the quality and warranty management, which is applied to examine and evaluate different configurations (i.e. component reuse, rebuild and recycle) for remanufactured products and propose the selling of extended warranty policies for buyers. Research limitations/implications: The developed model-driven DSS can assist manufacturers to select and increase the number of components, e.g. to be reused, rebuilt, and recycled for producing a remanufactured product and propose suitable warranty policies for buyers. However, this study focusses only on the evaluation of warranty policies for specific remanufactured products in a DSS, i.e. types of air compressors for production operations in manufacturing industry. Originality/value: This study developed optimisation models to be used in a DSS for proposing the selling of extended warranty of a remanufactured product to improve customer satisfaction and maximise the gained profits for manufacturers. © 2022, Emerald Publishing Limited.",Decision support system; Product remanufacturing; Quality management; Reliability; Warranty,Emerald Publishing,scopus-artificial intelligence,2,Mechanical AI,"['optimisation models', 'decision support system', 'warranty policies', 'remanufactured products', 'profits']","The abstract discusses the development of optimisation models for a decision support system intended to improve the selling of extended warranty policies for remanufactured products. This aligns with the Mechanical AI category, which focuses on automating processes to meet customer needs and enhancing marketing strategies through data-driven approaches. The emphasis on improving profits through marketing remanufactured products indicates an automated approach to market analysis and segmentation, which are key aspects of Mechanical AI.",0%,70%,20%,0%,10%,"[2023, 2025)",Decision support
Performance evaluation for competency of bank telemarketing prediction using data mining techniques,Rashid Farooqi M.; Iqbal N.,2019,10.35940/ijrte.A1269.078219,"In today's market there is cut throat competition in the banks and struggling hard to gain competitive advantage over each other. The banking industry has undergone tremendous changes in the way business conducted. They realizes the needs and techniques of data mining which is helpful tool to gather, store, capture data and convert into knowledge. The application of data mining enhances the performance of telemarketing process in banking industry. It also provide an insight how these techniques effectively used in banking industry to make the decision making process easier and productive. This work describes a data mining approach to extract valuable knowledge and information from a bank telemarketing campaign data. At this time, the potential of five data mining methods was explored for forecasting of term deposit subscription. The presentation of these techniques was evaluated on fourteen different classifier parameters. The overall better performance achieved by J48 decision tree which reported 91.2% correctly classified with sensitivity, specificity and lowest error rate of 53.8, 95.9 and 8.8 % respectively. © BEIESP.",Bank telemarketing; Classification; Data mining; Decision support; Direct marketing,Blue Eyes Intelligence Engineering and Sciences Publication,scopus-data mining,10,Mechanical AI,"['data mining', 'telemarketing process', 'data collection', 'forecasting', 'decision making', 'bank telemarketing campaign']","The abstract discusses the use of data mining techniques to improve the telemarketing process in the banking industry, emphasizing the gathering and processing of data to extract valuable knowledge. This aligns with the Mechanical AI category, which focuses on data collection and automated processes. Although there are elements of decision-making and performance evaluation, the primary focus remains on data mining as a tool for data collection and analysis.",0%,70%,30%,0%,0%,"[2019, 2021)",Decision support
An Adaptive Intelligent Management System of Advertising for Social Networks: A Case Study of Facebook,Aguilar J.; Garcia G.,2018,10.1109/TCSS.2017.2759188,"At present, social networks are strongly used for personal or professional purposes. The social networks have accumulated a large amount of information, which can be used in different ways. One of such possible purposes is advertising. In particular, when a company pays for advertising in a social network, it wants to get an ideal deployment of the ads on the network. The ideal behavior aims at reducing the high costs to pay, the number of hours to design advertising, the difficulty in the creation of ads by lots, among other things. In particular, the optimization of the production of advertising on social networks, based on the performance of the ads, is not an easy task. If we make an incorrect design, this can result in losses for a company. In this sense, this paper presents an intelligent system of management of social network advertising, based on data mining techniques, to automatically produce ads. In addition, we test our adaptive mechanism of automated production (generation) of online advertising on Facebook. Our system carries out automatic modifications and improvements of ads. Facebook is one of the more popular social networks, being widely used by companies for advertising, in order to create contents attracting the attention of users. © 2014 IEEE.",Decision support systems; Facebook; intelligent systems; online advertising; social networks,Institute of Electrical and Electronics Engineers Inc.,scopus-artificial intelligence,22,Mechanical AI,"['automated production', 'data mining', 'automatic modifications', 'advertising', 'social networks']","The abstract discusses an intelligent system for managing social network advertising that focuses on automating the production of ads and making automatic modifications to improve them. This aligns with the Mechanical AI category, which emphasizes automation in processes related to advertising and data handling. It does not focus on emotional understanding or strategic market analysis.",0%,80%,20%,0%,0%,"[2017, 2019)",Decision support
Semiautomated identification and classification of customer complaints,Choe P.; Lehto M.R.; Shin G.-C.; Choi K.-Y.,2013,10.1002/hfm.20325,"This paper examines the feasibility of extracting useful information from customer comments using a Naïve Bayes classifier. This was done for a database, obtained from a large Korean mobile telephone service provider, of 533 customer calls to call centers in 2009. After eliminating calls not containing customer complaints or comments, the remaining 383 comments were classified by an expert panel into four domains and 27 complaint categories. The four domains were Transaction-related (189 comments, 49%), Product-related (120 comments, 31%), Customer Service or Support-related (38 comments, 10%) and Customer Outreach and Marketing-related (36 comments, 9%). The comments were then randomly assigned to either a training set (257 cases, 67%) or test set (126 cases, 33%). The training set was used to develop a Naïve Bayes classifier that correctly predicted the domain 75% of the time and the specific subcategory 51% of the time for the test set. Prediction accuracy was strongly related to prediction strength for both sets of predictions, suggesting that simple filtering strategies where difficult to understand comments are flagged for expert review and easy comments are automatically classified are both technically feasible and likely to be practically valuable. Several strong predictors were also identified that corresponded to categories more detailed than those originally assigned. © 2012 Wiley Periodicals, Inc., A Wiley Company.",Bayesian inference; Call center agent; Customer complaints; Decision support; TextMiner,,scopus-prediction,6,Mechanical AI,"['Naïve Bayes classifier', 'customer comments', 'data extraction', 'customer complaints', 'comment classification', 'training set', 'test set', 'prediction accuracy']","The abstract discusses the use of a Naïve Bayes classifier to process and classify customer comments, which involves automating the data collection and classification process. This aligns with the Mechanical AI category's focus on data collection and standardization, as it aims to automate customer comment analysis and improve the efficiency of identifying customer needs through segmentation into various domains and complaint categories.",0%,70%,20%,0%,10%,"[2013, 2015)",Decision support
Auction Advisor: An agent-based online-auction decision support system,Gregg D.G.; Walczak S.,2006,10.1016/j.dss.2004.07.007,Online auctions are proving themselves as a viable alternative in the C2C and B2C marketplace. Several thousand new items are placed for auction every day and determining which items to bid on or when and where to sell an item are difficult questions to answer for online-auction participants. This paper presents a multiagent Auction Advisor system designed to collect data related to online auctions and use the data to help improve the decision making of auction participants. A simulation of applied Auction Advisor recommendations and a small research study that used subjects making real purchases at online auctions both indicate that online-auction buyers and sellers achieve tangible benefit from the current information acquired by and recommendations made by the Auction Advisor agents. © 2004 Elsevier B.V. All rights reserved.,Autonomous agent; Data analysis; Decision support; Information retrieval; Online auction,,scopus-autonomous,58,Mechanical AI,"['online auctions', 'data collection', 'decision making', 'Auction Advisor', 'recommendations', 'marketplace']","The abstract discusses a multiagent Auction Advisor system that collects data related to online auctions and provides recommendations to improve decision-making for auction participants. This aligns closely with the Mechanical AI category, which focuses on data collection and automated processes to enhance market understanding and decision-making. The emphasis on improving auction outcomes through collected data and recommendations fits well within the definitions of Mechanical AI, particularly in data collection and standardization.",0%,80%,20%,0%,0%,"[2005, 2007)",Decision support
From decision support to decision automation: A 2020 vision,Bucklin R.E.; Lehmann D.R.; Little J.D.C.,1998,10.1023/A:1008047504898,"The authors discuss the long-run future of decision support systems in marketing. They argue that a growing proportion of marketing decisions can not only be supported but may also be automated. From a standpoint of both efficiency (e.g., management productivity) and effectiveness (e.g., resource allocation decisions), such automation is highly desirable. The authors describe how model-based automated decision-making is likely to penetrate various marketing decision-making environments and how such models can incorporate competitive dynamics. For example, the authors foresee that close to full automation can ultimately take place for many decisions about existing products in stable markets. Partial automation could characterize decision making for new products in stable markets and existing products in unstable markets.",Automation; Competition; Decision support,Kluwer Academic Publishers,scopus-automation,46,Mechanical AI,"['automation', 'decision support systems', 'model-based decision-making', 'efficiency', 'effectiveness']","The abstract discusses the automation of marketing decisions and the use of model-based automated decision-making, which aligns with the focus on efficiency and the automation of processes, fitting into the Mechanical AI category. It emphasizes how marketing decisions, especially in stable markets, can be automated, which is a core aspect of data collection and standardization in Mechanical AI.",0%,80%,20%,0%,0%,"[1997, 1999)",Decision support
Auction Advisor: An agent-based online-auction decision support system,Gregg D.G.; Walczak S.,2006,10.1016/j.dss.2004.07.007,Online auctions are proving themselves as a viable alternative in the C2C and B2C marketplace. Several thousand new items are placed for auction every day and determining which items to bid on or when and where to sell an item are difficult questions to answer for online-auction participants. This paper presents a multiagent Auction Advisor system designed to collect data related to online auctions and use the data to help improve the decision making of auction participants. A simulation of applied Auction Advisor recommendations and a small research study that used subjects making real purchases at online auctions both indicate that online-auction buyers and sellers achieve tangible benefit from the current information acquired by and recommendations made by the Auction Advisor agents. © 2004 Elsevier B.V. All rights reserved.,Autonomous agent; Data analysis; Decision support; Information retrieval; Online auction,,scopus-autonomous,58,Mechanical AI,"['online auctions', 'data collection', 'decision making', 'Auction Advisor', 'recommendations', 'marketplace']","The abstract discusses a multiagent Auction Advisor system that collects data related to online auctions and provides recommendations to improve decision-making for auction participants. This aligns closely with the Mechanical AI category, which focuses on data collection and automated processes to enhance market understanding and decision-making. The emphasis on improving auction outcomes through collected data and recommendations fits well within the definitions of Mechanical AI, particularly in data collection and standardization.",0%,80%,20%,0%,0%,"[2005, 2007)",Decision support
From decision support to decision automation: A 2020 vision,Bucklin R.E.; Lehmann D.R.; Little J.D.C.,1998,10.1023/A:1008047504898,"The authors discuss the long-run future of decision support systems in marketing. They argue that a growing proportion of marketing decisions can not only be supported but may also be automated. From a standpoint of both efficiency (e.g., management productivity) and effectiveness (e.g., resource allocation decisions), such automation is highly desirable. The authors describe how model-based automated decision-making is likely to penetrate various marketing decision-making environments and how such models can incorporate competitive dynamics. For example, the authors foresee that close to full automation can ultimately take place for many decisions about existing products in stable markets. Partial automation could characterize decision making for new products in stable markets and existing products in unstable markets.",Automation; Competition; Decision support,Kluwer Academic Publishers,scopus-automation,46,Mechanical AI,"['automation', 'decision support systems', 'model-based decision-making', 'efficiency', 'effectiveness']","The abstract discusses the automation of marketing decisions and the use of model-based automated decision-making, which aligns with the focus on efficiency and the automation of processes, fitting into the Mechanical AI category. It emphasizes how marketing decisions, especially in stable markets, can be automated, which is a core aspect of data collection and standardization in Mechanical AI.",0%,80%,20%,0%,0%,"[1997, 1999)",Decision support
An Adaptive Intelligent Management System of Advertising for Social Networks: A Case Study of Facebook,Aguilar J.; Garcia G.,2018,10.1109/TCSS.2017.2759188,"At present, social networks are strongly used for personal or professional purposes. The social networks have accumulated a large amount of information, which can be used in different ways. One of such possible purposes is advertising. In particular, when a company pays for advertising in a social network, it wants to get an ideal deployment of the ads on the network. The ideal behavior aims at reducing the high costs to pay, the number of hours to design advertising, the difficulty in the creation of ads by lots, among other things. In particular, the optimization of the production of advertising on social networks, based on the performance of the ads, is not an easy task. If we make an incorrect design, this can result in losses for a company. In this sense, this paper presents an intelligent system of management of social network advertising, based on data mining techniques, to automatically produce ads. In addition, we test our adaptive mechanism of automated production (generation) of online advertising on Facebook. Our system carries out automatic modifications and improvements of ads. Facebook is one of the more popular social networks, being widely used by companies for advertising, in order to create contents attracting the attention of users. © 2014 IEEE.",Decision support systems; Facebook; intelligent systems; online advertising; social networks,Institute of Electrical and Electronics Engineers Inc.,scopus-artificial intelligence,22,Mechanical AI,"['automated production', 'data mining', 'automatic modifications', 'advertising', 'social networks']","The abstract discusses an intelligent system for managing social network advertising that focuses on automating the production of ads and making automatic modifications to improve them. This aligns with the Mechanical AI category, which emphasizes automation in processes related to advertising and data handling. It does not focus on emotional understanding or strategic market analysis.",0%,80%,20%,0%,0%,"[2017, 2019)",Decision support
