Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic,resumo
INTEGRATED SMART INDUSTRY 4.0-BASED DECISION SUPPORT FOR OPTIMIZING TACTICAL-OPERATIONAL DECISIONS: CASE STUDY,Bagheri H.; Ghavareshki M.H.K.; Abbasi M.; Fazlollahtabar H.,2025,10.3934/jimo.2024105,"The paper considers a model for an intelligent sales-distribution network that makes decisions related to marketing, inventory control, and pricing in the entire network. Considering the importance of staying in the competitive world, using machine learning tools is of great importance. A decision support system has been used to forecast the demand. Actual sales data is inserted into the decision support system, and then, using available evidence and past performance, a decision is made to estimate the demand. Then, an intelligent algorithm for solving the mathematical model is raised, which performs the model real-time using the data received from the decision support system and provides updated results. Sensitivity analysis was performed for validation. According to the obtained results, intelligent has a great impact on the objective function values and the use of real data helps in the network performance leading to cost reduction and lost sales. Two innovations used have not been investigated simultaneously in any of the previous studies. © (2025), (American Institute of Mathematical Sciences). All rights reserved.",Decision support system; IIntegrated manage; Inventory; Pricing; Smart distribution and sales network,American Institute of Mathematical Sciences,scopus-machine learning,0,Mechanical AI,"['intelligent sales-distribution network', 'decision support system', 'forecast the demand', 'real-time', 'data', 'cost reduction', 'inventory control', 'pricing']","The abstract discusses a model for an intelligent sales-distribution network that employs machine learning tools for decision-making in marketing, inventory control, and pricing. The focus is on automating processes related to demand forecasting and using real sales data to make informed decisions, which aligns with the definitions of Mechanical AI that involve automating processes and using data collection. There is less emphasis on analysis or emotional understanding typically associated with Thinking or Feeling AI.",0%,70%,20%,0%,10%,,Decision support,"O artigo considera um modelo para uma rede de distribuição e vendas inteligente que toma decisões relacionadas a marketing, controle de estoque e precificação em toda a rede. Dada a importância de se manter competitivo, o uso de ferramentas de aprendizado de máquina é fundamental. Um sistema de suporte à decisão foi utilizado para prever a demanda. Dados reais de vendas são inseridos no sistema, e, com base em evidências disponíveis e desempenho passado, uma decisão é tomada para estimar a demanda. Em seguida, um algoritmo inteligente para resolver o modelo matemático é desenvolvido, operando em tempo real com os dados recebidos do sistema de suporte à decisão e fornecendo resultados atualizados. Uma análise de sensibilidade foi realizada para validação. De acordo com os resultados obtidos, a inteligência tem um grande impacto nos valores da função objetivo, e o uso de dados reais ajuda no desempenho da rede, levando à redução de custos e perdas de vendas. Duas inovações utilizadas não foram investigadas simultaneamente em estudos anteriores."
A decision support system to evaluate the quality and warranty policies for remanufactured products,Kuik S.; Ban J.; Diong L.; Qi X.,2023,10.1108/TQM-02-2022-0046,"Purpose: This paper proposes optimisation models to evaluate and examine the selling of extended warranty policies in terms of improved profits in producing/marketing remanufactured products. These models are numerically solved using a quadratic programming solution approach and implemented in the decision support system (DSS). Design/methodology/approach: The purpose of this paper is to develop the optimisation models for a DSS and evaluate different warranty policies for buyers. Findings: This study has demonstrated the flexibility and usefulness of a model-driven DSS for the quality and warranty management, which is applied to examine and evaluate different configurations (i.e. component reuse, rebuild and recycle) for remanufactured products and propose the selling of extended warranty policies for buyers. Research limitations/implications: The developed model-driven DSS can assist manufacturers to select and increase the number of components, e.g. to be reused, rebuilt, and recycled for producing a remanufactured product and propose suitable warranty policies for buyers. However, this study focusses only on the evaluation of warranty policies for specific remanufactured products in a DSS, i.e. types of air compressors for production operations in manufacturing industry. Originality/value: This study developed optimisation models to be used in a DSS for proposing the selling of extended warranty of a remanufactured product to improve customer satisfaction and maximise the gained profits for manufacturers. © 2022, Emerald Publishing Limited.",Decision support system; Product remanufacturing; Quality management; Reliability; Warranty,Emerald Publishing,scopus-artificial intelligence,2,Mechanical AI,"['optimisation models', 'decision support system', 'warranty policies', 'remanufactured products', 'profits']","The abstract discusses the development of optimisation models for a decision support system intended to improve the selling of extended warranty policies for remanufactured products. This aligns with the Mechanical AI category, which focuses on automating processes to meet customer needs and enhancing marketing strategies through data-driven approaches. The emphasis on improving profits through marketing remanufactured products indicates an automated approach to market analysis and segmentation, which are key aspects of Mechanical AI.",0%,70%,20%,0%,10%,"[2023.0, 2025.0)",Decision support,"Este artigo propõe modelos de otimização para avaliar e examinar a venda de políticas de garantia estendida em termos de aumento de lucros na produção/comercialização de produtos remanufaturados. Os modelos são resolvidos numericamente utilizando uma abordagem de programação quadrática e implementados em um sistema de suporte à decisão (DSS). O objetivo é desenvolver modelos de otimização para um DSS e avaliar diferentes políticas de garantia para os compradores. O estudo demonstrou a flexibilidade e utilidade de um DSS orientado a modelos para a gestão de qualidade e garantia, aplicado para examinar e avaliar diferentes configurações (ou seja, reutilização de componentes, reconstrução e reciclagem) de produtos remanufaturados e propor a venda de políticas de garantia estendida para os compradores. O DSS desenvolvido pode ajudar os fabricantes a selecionar e aumentar o número de componentes a serem reutilizados, reconstruídos e reciclados para a produção de um produto remanufaturado e propor políticas de garantia adequadas para os compradores. No entanto, o estudo foca apenas na avaliação de políticas de garantia para produtos remanufaturados específicos em um DSS, ou seja, tipos de compressores de ar para operações de produção na indústria manufatureira. Este estudo desenvolveu modelos de otimização a serem usados em um DSS para propor a venda de garantia estendida de um produto remanufaturado, visando melhorar a satisfação do cliente e maximizar os lucros obtidos pelos fabricantes."
Performance evaluation for competency of bank telemarketing prediction using data mining techniques,Rashid Farooqi M.; Iqbal N.,2019,10.35940/ijrte.A1269.078219,"In today's market there is cut throat competition in the banks and struggling hard to gain competitive advantage over each other. The banking industry has undergone tremendous changes in the way business conducted. They realizes the needs and techniques of data mining which is helpful tool to gather, store, capture data and convert into knowledge. The application of data mining enhances the performance of telemarketing process in banking industry. It also provide an insight how these techniques effectively used in banking industry to make the decision making process easier and productive. This work describes a data mining approach to extract valuable knowledge and information from a bank telemarketing campaign data. At this time, the potential of five data mining methods was explored for forecasting of term deposit subscription. The presentation of these techniques was evaluated on fourteen different classifier parameters. The overall better performance achieved by J48 decision tree which reported 91.2% correctly classified with sensitivity, specificity and lowest error rate of 53.8, 95.9 and 8.8 % respectively. © BEIESP.",Bank telemarketing; Classification; Data mining; Decision support; Direct marketing,Blue Eyes Intelligence Engineering and Sciences Publication,scopus-data mining,10,Mechanical AI,"['data mining', 'telemarketing process', 'data collection', 'forecasting', 'decision making', 'bank telemarketing campaign']","The abstract discusses the use of data mining techniques to improve the telemarketing process in the banking industry, emphasizing the gathering and processing of data to extract valuable knowledge. This aligns with the Mechanical AI category, which focuses on data collection and automated processes. Although there are elements of decision-making and performance evaluation, the primary focus remains on data mining as a tool for data collection and analysis.",0%,70%,30%,0%,0%,"[2019.0, 2021.0)",Decision support,"No mercado atual, a competição entre os bancos é intensa, e eles lutam para obter vantagem competitiva. A indústria bancária passou por mudanças significativas na forma como os negócios são conduzidos, reconhecendo a importância da mineração de dados como uma ferramenta útil para coletar, armazenar e transformar dados em conhecimento. A aplicação da mineração de dados melhora o desempenho do processo de telemarketing no setor bancário e oferece insights sobre como essas técnicas podem facilitar e tornar mais produtivo o processo de tomada de decisões. Este trabalho descreve uma abordagem de mineração de dados para extrair conhecimento valioso de dados de campanhas de telemarketing bancário, explorando cinco métodos de mineração de dados para prever a adesão a depósitos a prazo. A apresentação dessas técnicas foi avaliada com base em quatorze parâmetros de classificadores, com o desempenho geral melhor sendo alcançado pela árvore de decisão J48, que classificou corretamente 91,2% dos casos, com sensibilidade, especificidade e menor taxa de erro de 53,8%, 95,9% e 8,8%, respectivamente."
An Adaptive Intelligent Management System of Advertising for Social Networks: A Case Study of Facebook,Aguilar J.; Garcia G.,2018,10.1109/TCSS.2017.2759188,"At present, social networks are strongly used for personal or professional purposes. The social networks have accumulated a large amount of information, which can be used in different ways. One of such possible purposes is advertising. In particular, when a company pays for advertising in a social network, it wants to get an ideal deployment of the ads on the network. The ideal behavior aims at reducing the high costs to pay, the number of hours to design advertising, the difficulty in the creation of ads by lots, among other things. In particular, the optimization of the production of advertising on social networks, based on the performance of the ads, is not an easy task. If we make an incorrect design, this can result in losses for a company. In this sense, this paper presents an intelligent system of management of social network advertising, based on data mining techniques, to automatically produce ads. In addition, we test our adaptive mechanism of automated production (generation) of online advertising on Facebook. Our system carries out automatic modifications and improvements of ads. Facebook is one of the more popular social networks, being widely used by companies for advertising, in order to create contents attracting the attention of users. © 2014 IEEE.",Decision support systems; Facebook; intelligent systems; online advertising; social networks,Institute of Electrical and Electronics Engineers Inc.,scopus-artificial intelligence,22,Mechanical AI,"['automated production', 'data mining', 'automatic modifications', 'advertising', 'social networks']","The abstract discusses an intelligent system for managing social network advertising that focuses on automating the production of ads and making automatic modifications to improve them. This aligns with the Mechanical AI category, which emphasizes automation in processes related to advertising and data handling. It does not focus on emotional understanding or strategic market analysis.",0%,80%,20%,0%,0%,"[2017.0, 2019.0)",Decision support,"Atualmente, as redes sociais são amplamente utilizadas para fins pessoais ou profissionais, acumulando uma grande quantidade de informações que podem ser exploradas de diversas maneiras, incluindo a publicidade. Quando uma empresa investe em anúncios em redes sociais, busca uma veiculação ideal para reduzir custos, tempo de criação e dificuldades na produção de anúncios. A otimização da produção publicitária com base no desempenho dos anúncios é um desafio, pois um design inadequado pode resultar em prejuízos. Este artigo apresenta um sistema inteligente de gestão de publicidade em redes sociais, utilizando técnicas de mineração de dados para produzir anúncios automaticamente. O sistema realiza modificações e melhorias automáticas nos anúncios, sendo testado especificamente no Facebook, uma das redes sociais mais populares para publicidade, visando criar conteúdos que atraiam a atenção dos usuários."
Semiautomated identification and classification of customer complaints,Choe P.; Lehto M.R.; Shin G.-C.; Choi K.-Y.,2013,10.1002/hfm.20325,"This paper examines the feasibility of extracting useful information from customer comments using a Naïve Bayes classifier. This was done for a database, obtained from a large Korean mobile telephone service provider, of 533 customer calls to call centers in 2009. After eliminating calls not containing customer complaints or comments, the remaining 383 comments were classified by an expert panel into four domains and 27 complaint categories. The four domains were Transaction-related (189 comments, 49%), Product-related (120 comments, 31%), Customer Service or Support-related (38 comments, 10%) and Customer Outreach and Marketing-related (36 comments, 9%). The comments were then randomly assigned to either a training set (257 cases, 67%) or test set (126 cases, 33%). The training set was used to develop a Naïve Bayes classifier that correctly predicted the domain 75% of the time and the specific subcategory 51% of the time for the test set. Prediction accuracy was strongly related to prediction strength for both sets of predictions, suggesting that simple filtering strategies where difficult to understand comments are flagged for expert review and easy comments are automatically classified are both technically feasible and likely to be practically valuable. Several strong predictors were also identified that corresponded to categories more detailed than those originally assigned. © 2012 Wiley Periodicals, Inc., A Wiley Company.",Bayesian inference; Call center agent; Customer complaints; Decision support; TextMiner,,scopus-prediction,6,Mechanical AI,"['Naïve Bayes classifier', 'customer comments', 'data extraction', 'customer complaints', 'comment classification', 'training set', 'test set', 'prediction accuracy']","The abstract discusses the use of a Naïve Bayes classifier to process and classify customer comments, which involves automating the data collection and classification process. This aligns with the Mechanical AI category's focus on data collection and standardization, as it aims to automate customer comment analysis and improve the efficiency of identifying customer needs through segmentation into various domains and complaint categories.",0%,70%,20%,0%,10%,"[2013.0, 2015.0)",Decision support,"Este artigo examina a viabilidade de extrair informações úteis a partir de comentários de clientes usando um classificador Naïve Bayes. Foi analisada uma base de dados de 533 chamadas de clientes a centros de atendimento em 2009, obtida de um grande provedor de serviços de telefonia móvel na Coreia. Após a eliminação de chamadas que não continham reclamações ou comentários, 383 comentários foram classificados por um painel de especialistas em quatro domínios e 27 categorias de reclamação. Os quatro domínios foram: Relacionados a Transações (189 comentários, 49%), Relacionados a Produtos (120 comentários, 31%), Relacionados a Atendimento ou Suporte ao Cliente (38 comentários, 10%) e Relacionados a Marketing e Alcance ao Cliente (36 comentários, 9%). Os comentários foram então distribuídos aleatoriamente em um conjunto de treinamento (257 casos, 67%) ou um conjunto de teste (126 casos, 33%). O conjunto de treinamento foi utilizado para desenvolver um classificador Naïve Bayes que previu corretamente o domínio 75% das vezes e a subcategoria específica 51% das vezes para o conjunto de teste. A precisão da previsão estava fortemente relacionada à força da previsão para ambos os conjuntos, sugerindo que estratégias simples de filtragem, onde comentários difíceis de entender são sinalizados para revisão de especialistas e comentários fáceis são classificados automaticamente, são tecnicamente viáveis e provavelmente valiosas na prática. Vários preditores fortes também foram identificados, correspondendo a categorias mais detalhadas do que aquelas originalmente atribuídas."
Auction Advisor: An agent-based online-auction decision support system,Gregg D.G.; Walczak S.,2006,10.1016/j.dss.2004.07.007,Online auctions are proving themselves as a viable alternative in the C2C and B2C marketplace. Several thousand new items are placed for auction every day and determining which items to bid on or when and where to sell an item are difficult questions to answer for online-auction participants. This paper presents a multiagent Auction Advisor system designed to collect data related to online auctions and use the data to help improve the decision making of auction participants. A simulation of applied Auction Advisor recommendations and a small research study that used subjects making real purchases at online auctions both indicate that online-auction buyers and sellers achieve tangible benefit from the current information acquired by and recommendations made by the Auction Advisor agents. © 2004 Elsevier B.V. All rights reserved.,Autonomous agent; Data analysis; Decision support; Information retrieval; Online auction,,scopus-autonomous,58,Mechanical AI,"['online auctions', 'data collection', 'decision making', 'Auction Advisor', 'recommendations', 'marketplace']","The abstract discusses a multiagent Auction Advisor system that collects data related to online auctions and provides recommendations to improve decision-making for auction participants. This aligns closely with the Mechanical AI category, which focuses on data collection and automated processes to enhance market understanding and decision-making. The emphasis on improving auction outcomes through collected data and recommendations fits well within the definitions of Mechanical AI, particularly in data collection and standardization.",0%,80%,20%,0%,0%,"[2005.0, 2007.0)",Decision support,"Os leilões online estão se mostrando uma alternativa viável no mercado C2C e B2C. Todos os dias, milhares de novos itens são colocados em leilão, e determinar quais itens licitar ou quando e onde vender um item são questões difíceis para os participantes. Este artigo apresenta um sistema de Assistente de Leilão multiagente projetado para coletar dados relacionados a leilões online e usar essas informações para ajudar a melhorar a tomada de decisão dos participantes. Uma simulação das recomendações do Assistente de Leilão e um pequeno estudo de pesquisa que envolveu sujeitos realizando compras reais em leilões online indicam que compradores e vendedores de leilões online obtêm benefícios tangíveis a partir das informações atuais adquiridas e das recomendações feitas pelos agentes do Assistente de Leilão."
From decision support to decision automation: A 2020 vision,Bucklin R.E.; Lehmann D.R.; Little J.D.C.,1998,10.1023/A:1008047504898,"The authors discuss the long-run future of decision support systems in marketing. They argue that a growing proportion of marketing decisions can not only be supported but may also be automated. From a standpoint of both efficiency (e.g., management productivity) and effectiveness (e.g., resource allocation decisions), such automation is highly desirable. The authors describe how model-based automated decision-making is likely to penetrate various marketing decision-making environments and how such models can incorporate competitive dynamics. For example, the authors foresee that close to full automation can ultimately take place for many decisions about existing products in stable markets. Partial automation could characterize decision making for new products in stable markets and existing products in unstable markets.",Automation; Competition; Decision support,Kluwer Academic Publishers,scopus-automation,46,Mechanical AI,"['automation', 'decision support systems', 'model-based decision-making', 'efficiency', 'effectiveness']","The abstract discusses the automation of marketing decisions and the use of model-based automated decision-making, which aligns with the focus on efficiency and the automation of processes, fitting into the Mechanical AI category. It emphasizes how marketing decisions, especially in stable markets, can be automated, which is a core aspect of data collection and standardization in Mechanical AI.",0%,80%,20%,0%,0%,"[1997.0, 1999.0)",Decision support,"Os autores discutem o futuro a longo prazo dos sistemas de suporte à decisão em marketing, argumentando que uma proporção crescente das decisões de marketing pode não apenas ser apoiada, mas também automatizada. Essa automação é desejável tanto do ponto de vista da eficiência (por exemplo, produtividade da gestão) quanto da eficácia (por exemplo, decisões sobre alocação de recursos). Eles descrevem como a tomada de decisão automatizada baseada em modelos deve penetrar em diversos ambientes de decisão de marketing e como esses modelos podem incorporar dinâmicas competitivas. Por exemplo, os autores preveem que a automação quase total pode ocorrer para muitas decisões sobre produtos existentes em mercados estáveis, enquanto a automação parcial pode caracterizar a tomada de decisão para novos produtos em mercados estáveis e produtos existentes em mercados instáveis."
Auction Advisor: An agent-based online-auction decision support system,Gregg D.G.; Walczak S.,2006,10.1016/j.dss.2004.07.007,Online auctions are proving themselves as a viable alternative in the C2C and B2C marketplace. Several thousand new items are placed for auction every day and determining which items to bid on or when and where to sell an item are difficult questions to answer for online-auction participants. This paper presents a multiagent Auction Advisor system designed to collect data related to online auctions and use the data to help improve the decision making of auction participants. A simulation of applied Auction Advisor recommendations and a small research study that used subjects making real purchases at online auctions both indicate that online-auction buyers and sellers achieve tangible benefit from the current information acquired by and recommendations made by the Auction Advisor agents. © 2004 Elsevier B.V. All rights reserved.,Autonomous agent; Data analysis; Decision support; Information retrieval; Online auction,,scopus-autonomous,58,Mechanical AI,"['online auctions', 'data collection', 'decision making', 'Auction Advisor', 'recommendations', 'marketplace']","The abstract discusses a multiagent Auction Advisor system that collects data related to online auctions and provides recommendations to improve decision-making for auction participants. This aligns closely with the Mechanical AI category, which focuses on data collection and automated processes to enhance market understanding and decision-making. The emphasis on improving auction outcomes through collected data and recommendations fits well within the definitions of Mechanical AI, particularly in data collection and standardization.",0%,80%,20%,0%,0%,"[2005.0, 2007.0)",Decision support,"Os leilões online estão se mostrando uma alternativa viável no mercado C2C e B2C. Todos os dias, milhares de novos itens são leiloados, e determinar quais itens oferecer lances ou quando e onde vender um item são perguntas difíceis para os participantes. Este artigo apresenta um sistema de Consultor de Leilão multiagente, projetado para coletar dados relacionados a leilões online e usar essas informações para ajudar a melhorar a tomada de decisões dos participantes. Uma simulação das recomendações do Consultor de Leilão e um pequeno estudo de pesquisa que envolveu sujeitos realizando compras reais em leilões online indicam que compradores e vendedores de leilões online obtêm benefícios tangíveis a partir das informações e recomendações atuais fornecidas pelos agentes do Consultor de Leilão."
From decision support to decision automation: A 2020 vision,Bucklin R.E.; Lehmann D.R.; Little J.D.C.,1998,10.1023/A:1008047504898,"The authors discuss the long-run future of decision support systems in marketing. They argue that a growing proportion of marketing decisions can not only be supported but may also be automated. From a standpoint of both efficiency (e.g., management productivity) and effectiveness (e.g., resource allocation decisions), such automation is highly desirable. The authors describe how model-based automated decision-making is likely to penetrate various marketing decision-making environments and how such models can incorporate competitive dynamics. For example, the authors foresee that close to full automation can ultimately take place for many decisions about existing products in stable markets. Partial automation could characterize decision making for new products in stable markets and existing products in unstable markets.",Automation; Competition; Decision support,Kluwer Academic Publishers,scopus-automation,46,Mechanical AI,"['automation', 'decision support systems', 'model-based decision-making', 'efficiency', 'effectiveness']","The abstract discusses the automation of marketing decisions and the use of model-based automated decision-making, which aligns with the focus on efficiency and the automation of processes, fitting into the Mechanical AI category. It emphasizes how marketing decisions, especially in stable markets, can be automated, which is a core aspect of data collection and standardization in Mechanical AI.",0%,80%,20%,0%,0%,"[1997.0, 1999.0)",Decision support,"Os autores discutem o futuro a longo prazo dos sistemas de suporte à decisão em marketing, argumentando que uma proporção crescente das decisões de marketing pode não apenas ser apoiada, mas também automatizada. Essa automação é altamente desejável tanto do ponto de vista da eficiência (como a produtividade da gestão) quanto da eficácia (como decisões de alocação de recursos). Eles descrevem como a tomada de decisão automatizada baseada em modelos provavelmente penetrará em diversos ambientes de tomada de decisão em marketing e como esses modelos podem incorporar dinâmicas competitivas. Por exemplo, os autores preveem que a automação quase total pode ocorrer para muitas decisões sobre produtos existentes em mercados estáveis, enquanto a automação parcial pode caracterizar a tomada de decisão para novos produtos em mercados estáveis e produtos existentes em mercados instáveis."
An Adaptive Intelligent Management System of Advertising for Social Networks: A Case Study of Facebook,Aguilar J.; Garcia G.,2018,10.1109/TCSS.2017.2759188,"At present, social networks are strongly used for personal or professional purposes. The social networks have accumulated a large amount of information, which can be used in different ways. One of such possible purposes is advertising. In particular, when a company pays for advertising in a social network, it wants to get an ideal deployment of the ads on the network. The ideal behavior aims at reducing the high costs to pay, the number of hours to design advertising, the difficulty in the creation of ads by lots, among other things. In particular, the optimization of the production of advertising on social networks, based on the performance of the ads, is not an easy task. If we make an incorrect design, this can result in losses for a company. In this sense, this paper presents an intelligent system of management of social network advertising, based on data mining techniques, to automatically produce ads. In addition, we test our adaptive mechanism of automated production (generation) of online advertising on Facebook. Our system carries out automatic modifications and improvements of ads. Facebook is one of the more popular social networks, being widely used by companies for advertising, in order to create contents attracting the attention of users. © 2014 IEEE.",Decision support systems; Facebook; intelligent systems; online advertising; social networks,Institute of Electrical and Electronics Engineers Inc.,scopus-artificial intelligence,22,Mechanical AI,"['automated production', 'data mining', 'automatic modifications', 'advertising', 'social networks']","The abstract discusses an intelligent system for managing social network advertising that focuses on automating the production of ads and making automatic modifications to improve them. This aligns with the Mechanical AI category, which emphasizes automation in processes related to advertising and data handling. It does not focus on emotional understanding or strategic market analysis.",0%,80%,20%,0%,0%,"[2017.0, 2019.0)",Decision support,"Atualmente, as redes sociais são amplamente utilizadas para fins pessoais ou profissionais, acumulando uma grande quantidade de informações que podem ser usadas de diversas maneiras, incluindo a publicidade. Quando uma empresa investe em anúncios em uma rede social, busca uma implementação ideal dos mesmos, visando reduzir custos, tempo de design e a complexidade na criação de anúncios. A otimização da produção de publicidade nas redes sociais, com base no desempenho dos anúncios, é um desafio, pois um design inadequado pode acarretar prejuízos. Este artigo apresenta um sistema inteligente de gestão de publicidade em redes sociais, utilizando técnicas de mineração de dados para produzir anúncios automaticamente. Além disso, testamos um mecanismo adaptativo de produção automatizada de publicidade online no Facebook, realizando modificações e melhorias automáticas nos anúncios. O Facebook, sendo uma das redes sociais mais populares, é amplamente utilizado por empresas para criar conteúdos que atraem a atenção dos usuários."
