Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic,resumo
INTEGRATED SMART INDUSTRY 4.0-BASED DECISION SUPPORT FOR OPTIMIZING TACTICAL-OPERATIONAL DECISIONS: CASE STUDY,Bagheri H.; Ghavareshki M.H.K.; Abbasi M.; Fazlollahtabar H.,2025,10.3934/jimo.2024105,"The paper considers a model for an intelligent sales-distribution network that makes decisions related to marketing, inventory control, and pricing in the entire network. Considering the importance of staying in the competitive world, using machine learning tools is of great importance. A decision support system has been used to forecast the demand. Actual sales data is inserted into the decision support system, and then, using available evidence and past performance, a decision is made to estimate the demand. Then, an intelligent algorithm for solving the mathematical model is raised, which performs the model real-time using the data received from the decision support system and provides updated results. Sensitivity analysis was performed for validation. According to the obtained results, intelligent has a great impact on the objective function values and the use of real data helps in the network performance leading to cost reduction and lost sales. Two innovations used have not been investigated simultaneously in any of the previous studies. © (2025), (American Institute of Mathematical Sciences). All rights reserved.",Decision support system; IIntegrated manage; Inventory; Pricing; Smart distribution and sales network,American Institute of Mathematical Sciences,scopus-machine learning,0,Mechanical AI,"intelligent sales-distribution network, decision support system, forecast the demand, real-time, data, cost reduction, inventory control, pricing","The abstract discusses a model for an intelligent sales-distribution network that employs machine learning tools for decision-making in marketing, inventory control, and pricing. The focus is on automating processes related to demand forecasting and using real sales data to make informed decisions, which aligns with the definitions of Mechanical AI that involve automating processes and using data collection. There is less emphasis on analysis or emotional understanding typically associated with Thinking or Feeling AI.",0%,70%,20%,0%,10%,,Decision support,"O artigo considera um modelo para uma rede de distribuição de vendas inteligente que toma decisões relacionadas a marketing, controle de estoque e precificação em toda a rede. Dada a importância de se manter competitivo, o uso de ferramentas de aprendizado de máquina é fundamental. Um sistema de apoio à decisão foi utilizado para prever a demanda. Dados reais de vendas são inseridos no sistema, e, utilizando evidências disponíveis e desempenho passado, uma decisão é tomada para estimar a demanda. Em seguida, um algoritmo inteligente para resolver o modelo matemático é desenvolvido, que executa o modelo em tempo real usando os dados recebidos do sistema de apoio à decisão e fornece resultados atualizados. Uma análise de sensibilidade foi realizada para validação. De acordo com os resultados obtidos, a inteligência tem um grande impacto nos valores da função objetivo e o uso de dados reais ajuda no desempenho da rede, levando à redução de custos e vendas perdidas. Duas inovações utilizadas não foram investigadas simultaneamente em nenhum dos estudos anteriores."
Understanding digitally enabled complex networks: a plural granulation based hybrid community detection approach,Gupta S.; Deodhar S.,2024,10.1108/ITP-10-2020-0682,"Purpose: Communities representing groups of agents with similar interests or functions are one of the essential features of complex networks. Finding communities in real-world networks is critical for analyzing complex systems in various areas ranging from collaborative information to political systems. Given the different characteristics of networks and the capability of community detection in handling a plethora of societal problems, community detection methods represent an emerging area of research. Contributing to this field, the authors propose a new community detection algorithm based on the hybridization of node and link granulation. Design/methodology/approach: The proposed algorithm utilizes a rough set-theoretic concept called closure on networks. Initial sets are constructed by using neighborhood topology around the nodes as well as links and represented as two different categories of granules. Subsequently, the authors iteratively obtain the constrained closure of these sets. The authors use node mutuality and link mutuality as merging criteria for node and link granules, respectively, during the iterations. Finally, the constrained closure subsets of nodes and links are combined and refined using the Jaccard similarity coefficient and a local density function to obtain communities in a binary network. Findings: Extensive experiments conducted on twelve real-world networks followed by a comparison with state-of-the-art methods demonstrate the viability and effectiveness of the proposed algorithm. Research limitations/implications: The study also contributes to the ongoing effort related to the application of soft computing techniques to model complex systems. The extant literature has integrated a rough set-theoretic approach with a fuzzy granular model (Kundu and Pal, 2015) and spectral clustering (Huang and Xiao, 2012) for node-centric community detection in complex networks. In contributing to this stream of work, the proposed algorithm leverages the unexplored synergy between rough set theory, node granulation and link granulation in the context of complex networks. Combined with experiments of network datasets from various domains, the results indicate that the proposed algorithm can effectively reveal co-occurring disjoint, overlapping and nested communities without necessarily assigning each node to a community. Practical implications: This study carries important practical implications for complex adaptive systems in business and management sciences, in which entities are increasingly getting organized into communities (Jacucci et al., 2006). The proposed community detection method can be used for network-based fraud detection by enabling experts to understand the formation and development of fraudulent setups with an active exchange of information and resources between the firms (Van Vlasselaer et al., 2017). Products and services are getting connected and mapped in every walk of life due to the emergence of a variety of interconnected devices, social networks and software applications. Social implications: The proposed algorithm could be extended for community detection on customer trajectory patterns and design recommendation systems for online products and services (Ghose et al., 2019; Liu and Wang, 2017). In line with prior research, the proposed algorithm can aid companies in investigating the characteristics of implicit communities of bloggers or social media users for their services and products so as to identify peer influencers and conduct targeted marketing (Chau and Xu, 2012; De Matos et al., 2014; Zhang et al., 2016). The proposed algorithm can be used to understand the behavior of each group and the appropriate communication strategy for that group. For instance, a group using a specific language or following a specific account might benefit more from a particular piece of content than another group. The proposed algorithm can thus help in exploring the factors defining communities and confronting many real-life challenges. Originality/value: This work is based on a theoretical argument that communities in networks are not only based on compatibility among nodes but also on the compatibility among links. Building up on the aforementioned argument, the authors propose a community detection method that considers the relationship among both the entities in a network (nodes and links) as opposed to traditional methods, which are predominantly based on relationships among nodes only. © 2021, Emerald Publishing Limited.",Cohesion; Community; Decision support; IT artifact; Network analysis; Social computing,Emerald Publishing,scopus-recommendation,4,Thinking AI,"community detection, customer trajectory patterns, targeted marketing, social media users, peer influencers, behavior understanding, communication strategy","The abstract discusses a community detection algorithm that can analyze complex networks, which can be applied to marketing analytics for understanding customer behaviors and tailoring marketing strategies. It emphasizes the importance of identifying communities for targeted marketing and understanding customer interactions, which aligns with the 'Thinking AI' focus on market analysis and targeting.",10%,0%,90%,0%,0%,"[2023, 2025)",Decision support,"As comunidades que representam grupos de agentes com interesses ou funções semelhantes são características essenciais das redes complexas. A detecção de comunidades em redes do mundo real é crucial para a análise de sistemas complexos em diversas áreas, desde informações colaborativas até sistemas políticos. Este estudo propõe um novo algoritmo de detecção de comunidades baseado na hibridização da granularidade de nós e links, utilizando um conceito teórico de conjuntos aproximados chamado fechamento em redes. O algoritmo constrói conjuntos iniciais a partir da topologia de vizinhança e, em seguida, obtém iterativamente o fechamento restrito desses conjuntos, utilizando critérios de mutualidade de nós e links. Experimentos em doze redes reais demonstram a viabilidade e eficácia do algoritmo proposto. A pesquisa contribui para a aplicação de técnicas de computação suave em sistemas complexos e pode ser utilizada para detecção de fraudes em redes, além de ajudar empresas a investigar características de comunidades implícitas em mídias sociais. O trabalho sugere que as comunidades nas redes são baseadas não apenas na compatibilidade entre nós, mas também entre links, propondo um método que considera a relação entre ambas as entidades."
Video marketing for decentralized finance platforms’ services,Giannakopoulos N.T.; Reklitis D.P.; Terzi M.C.; Sakas D.P.; Kanellos N.,2024,10.1057/s41264-024-00288-2,"In the continuously evolving environment of blockchain applications, decentralized finance (DeFi) has been discerned as a favorable application among internet users. In this point of view, DeFi platforms have known increased competition with multiple similar platforms constantly emerging. Therefore, DeFi platforms should seek to promote digitally their financial services and increase the visibility of their website. This study examines the potential utilization of DeFi YouTube channel metrics for enhancing their digital marketing performance (website visibility and campaign efficiency), through statistical analyses, system dynamics (SD), and eye-tracking models. From the paper's outcomes, it becomes clear that only the YouTube metrics of the number of videos, number of comments, video interaction, channel views, and views per video can affect DeFi platforms’ website visibility and campaigns’ efficiency. Toward this purpose, neuromarketing applications (eye tracking and heatmaps) indicated that DeFi YouTube channels should select an engaging video (high interaction rate) and provide little but clear information on their home page. Apart from that, the rest of the channel’s pages should be enriched with a logical number of highly interactive short-duration videos, and not with an increasing number of videos. © The Author(s), under exclusive licence to Springer Nature Limited 2024.",Big data; Decentralized finance (DeFi); Decision support systems (DSSs); Neuromarketing; Strategic digital marketing; Video marketing,Palgrave Macmillan,scopus-big data,0,Feeling AI,"YouTube metrics, website visibility, campaign efficiency, engaging video, interaction rate, customer needs, neuromarketing, eye tracking","The abstract discusses enhancing the digital marketing performance of DeFi platforms through understanding customer engagement with YouTube content. It emphasizes the need to select engaging videos and tailor information to meet customer emotional preferences, which aligns with the focus on customer understanding and relationalization in Feeling AI.",60%,20%,20%,0%,0%,"[2023, 2025)",Decision support,"No ambiente em constante evolução das aplicações de blockchain, as finanças descentralizadas (DeFi) têm se destacado como uma aplicação favorável entre os usuários da internet. Nesse contexto, as plataformas DeFi enfrentam uma concorrência crescente, com múltiplas plataformas semelhantes surgindo constantemente. Portanto, as plataformas DeFi devem buscar promover digitalmente seus serviços financeiros e aumentar a visibilidade de seus sites. Este estudo examina a utilização potencial das métricas de canais do YouTube de DeFi para melhorar seu desempenho em marketing digital (visibilidade do site e eficiência de campanhas), por meio de análises estatísticas, dinâmicas de sistema (SD) e modelos de rastreamento ocular. Os resultados do artigo mostram que apenas as métricas do YouTube, como número de vídeos, número de comentários, interação dos vídeos, visualizações do canal e visualizações por vídeo, podem afetar a visibilidade do site das plataformas DeFi e a eficiência das campanhas. Para isso, as aplicações de neuromarketing (rastreamento ocular e mapas de calor) indicaram que os canais DeFi no YouTube devem selecionar um vídeo envolvente (com alta taxa de interação) e fornecer informações claras, mas concisas, em sua página inicial. Além disso, as demais páginas do canal devem ser enriquecidas com um número lógico de vídeos curtos e altamente interativos, e não com um número crescente de vídeos."
Video marketing for decentralized finance platforms' services,"Giannakopoulos, NT; Reklitis, DP; Terzi, MC; Sakas, DP; Kanellos, N",2024,10.1057/s41264-024-00288-2,"In the continuously evolving environment of blockchain applications, decentralized finance (DeFi) has been discerned as a favorable application among internet users. In this point of view, DeFi platforms have known increased competition with multiple similar platforms constantly emerging. Therefore, DeFi platforms should seek to promote digitally their financial services and increase the visibility of their website. This study examines the potential utilization of DeFi YouTube channel metrics for enhancing their digital marketing performance (website visibility and campaign efficiency), through statistical analyses, system dynamics (SD), and eye-tracking models. From the paper's outcomes, it becomes clear that only the YouTube metrics of the number of videos, number of comments, video interaction, channel views, and views per video can affect DeFi platforms' website visibility and campaigns' efficiency. Toward this purpose, neuromarketing applications (eye tracking and heatmaps) indicated that DeFi YouTube channels should select an engaging video (high interaction rate) and provide little but clear information on their home page. Apart from that, the rest of the channel's pages should be enriched with a logical number of highly interactive short-duration videos, and not with an increasing number of videos.",Strategic digital marketing; Video marketing; Decentralized finance (DeFi); Big data; Neuromarketing; Decision support systems (DSSs),PALGRAVE MACMILLAN LTD,wos-big data,0,Thinking AI,"DeFi, digital marketing performance, website visibility, campaign efficiency, YouTube metrics, video interaction, statistical analyses","The abstract discusses the analysis of DeFi YouTube channel metrics to enhance digital marketing performance, which aligns with market analysis and targeting strategies. It focuses on using statistical analyses and system dynamics to assess the impact of various metrics on marketing outcomes. This indicates a strategic analysis of data to improve visibility and efficiency, characteristic of Thinking AI.",0%,0%,100%,0%,0%,"[2023, 2025)",Decision support,"No ambiente em constante evolução das aplicações de blockchain, as finanças descentralizadas (DeFi) têm se destacado como uma aplicação favorável entre os usuários da internet. As plataformas DeFi enfrentam crescente concorrência, com várias plataformas semelhantes surgindo constantemente. Portanto, essas plataformas devem promover digitalmente seus serviços financeiros e aumentar a visibilidade de seus sites. Este estudo investiga a utilização potencial das métricas de canais do YouTube de DeFi para aprimorar seu desempenho em marketing digital (visibilidade do site e eficiência de campanhas), por meio de análises estatísticas, dinâmicas de sistema (SD) e modelos de rastreamento ocular. Os resultados do artigo indicam que apenas as métricas do YouTube, como número de vídeos, número de comentários, interação com vídeos, visualizações do canal e visualizações por vídeo, podem afetar a visibilidade do site das plataformas DeFi e a eficiência das campanhas. Para isso, as aplicações de neuromarketing (rastreamento ocular e mapas de calor) sugerem que os canais DeFi devem selecionar um vídeo envolvente (alta taxa de interação) e fornecer informações claras e concisas em sua página inicial. Além disso, as demais páginas do canal devem ser enriquecidas com um número lógico de vídeos curtos e altamente interativos, e não com um número crescente de vídeos."
Unveiling just-in-time decision support system using social media analytics: a case study on reverse logistics resource recycling,Shahidzadeh M.H.; Shokouhyar S.,2024,10.1108/IMDS-12-2023-0921,"Purpose: In recent times, the field of corporate intelligence has gained substantial prominence, employing advanced data analysis techniques to yield pivotal insights for instantaneous strategic and tactical decision-making. Expanding beyond rudimentary post observation and analysis, social media analytics unfolds a comprehensive exploration of diverse data streams encompassing social media platforms and blogs, thereby facilitating an all-encompassing understanding of the dynamic social customer landscape. During an extensive evaluation of social media presence, various indicators such as popularity, impressions, user engagement, content flow, and brand references undergo meticulous scrutiny. Invaluable intelligence lies within user-generated data stemming from social media platforms, encompassing valuable customer perspectives, feedback, and recommendations that have the potential to revolutionize numerous operational facets, including supply chain management. Despite its intrinsic worth, the actual business value of social media data is frequently overshadowed due to the pervasive abundance of content saturating the digital realm. In response to this concern, the present study introduces a cutting-edge system known as the Enterprise Just-in-time Decision Support System (EJDSS). Design/methodology/approach: Leveraging deep learning techniques and advanced analytics of social media data, the EJDSS aims to propel business operations forward. Specifically tailored to the domain of marketing, the framework delineates a practical methodology for extracting invaluable insights from the vast expanse of social data. This scholarly work offers a comprehensive overview of fundamental principles, pertinent challenges, functional aspects, and significant advancements in the realm of extensive social data analysis. Moreover, it presents compelling real-world scenarios that vividly illustrate the tangible advantages companies stand to gain by incorporating social data analytics into their decision-making processes and capitalizing on emerging investment prospects. Findings: To substantiate the efficacy of the EJDSS, a detailed case study centered around reverse logistics resource recycling is presented, accompanied by experimental findings that underscore the system’s exceptional performance. The study showcases remarkable precision, robustness, F1 score, and variance statistics, attaining impressive figures of 83.62%, 78.44%, 83.67%, and 3.79%, respectively. Originality/value: This scholarly work offers a comprehensive overview of fundamental principles, pertinent challenges, functional aspects, and significant advancements in the realm of extensive social data analysis. Moreover, it presents compelling real-world scenarios that vividly illustrate the tangible advantages companies stand to gain by incorporating social data analytics into their decision-making processes and capitalizing on emerging investment prospects. © 2024, Emerald Publishing Limited.",Decision support system; Deep learning; Industry 5.0; Socialmedia analytics,Emerald Publishing,scopus-recommendation,1,Thinking AI,"social media analytics, strategic decision-making, customer perspectives, advanced analytics, insights, market analysis, targeting","The abstract discusses the use of social media analytics and deep learning techniques to extract valuable insights for strategic and tactical decision-making in marketing. It emphasizes the analysis of user-generated data to understand customer behaviors and preferences, which aligns with the market analysis focus in Thinking AI. The introduction of the Enterprise Just-in-time Decision Support System (EJDSS) further supports the notion of actionable insights for competitive advantages. The keywords tie closely to the applications defined under Thinking AI.",0%,0%,100%,0%,0%,"[2023, 2025)",Decision support,"O campo da inteligência corporativa tem ganhado destaque, utilizando técnicas avançadas de análise de dados para fornecer insights cruciais para a tomada de decisões estratégicas e táticas. A análise de mídias sociais vai além da observação e análise simples, explorando diversas fontes de dados, incluindo plataformas de mídias sociais e blogs, para entender o dinâmico cenário do cliente social. Durante a avaliação da presença nas mídias sociais, indicadores como popularidade, impressões, engajamento do usuário, fluxo de conteúdo e referências à marca são analisados. Dados gerados por usuários em plataformas de mídias sociais oferecem perspectivas valiosas dos clientes, feedback e recomendações que podem transformar várias operações, como a gestão da cadeia de suprimentos. No entanto, o valor comercial real desses dados muitas vezes é ofuscado pela abundância de conteúdo digital. Para abordar essa questão, o estudo apresenta um sistema inovador chamado Sistema de Suporte à Decisão Just-in-time para Empresas (EJDSS). Utilizando técnicas de aprendizado profundo e análises avançadas de dados sociais, o EJDSS visa impulsionar as operações comerciais, especialmente na área de marketing, delineando uma metodologia prática para extrair insights valiosos. O trabalho oferece uma visão abrangente dos princípios fundamentais, desafios, aspectos funcionais e avanços significativos na análise de dados sociais. Além disso, apresenta cenários do mundo real que ilustram as vantagens tangíveis que as empresas podem obter ao incorporar a análise de dados sociais em seus processos de tomada de decisão. Para validar a eficácia do EJDSS, um estudo de caso detalhado sobre reciclagem de recursos em logística reversa é apresentado, demonstrando o desempenho excepcional do sistema com precisão, robustez e estatísticas de variância impressionantes."
A decision support system to evaluate the quality and warranty policies for remanufactured products,Kuik S.; Ban J.; Diong L.; Qi X.,2023,10.1108/TQM-02-2022-0046,"Purpose: This paper proposes optimisation models to evaluate and examine the selling of extended warranty policies in terms of improved profits in producing/marketing remanufactured products. These models are numerically solved using a quadratic programming solution approach and implemented in the decision support system (DSS). Design/methodology/approach: The purpose of this paper is to develop the optimisation models for a DSS and evaluate different warranty policies for buyers. Findings: This study has demonstrated the flexibility and usefulness of a model-driven DSS for the quality and warranty management, which is applied to examine and evaluate different configurations (i.e. component reuse, rebuild and recycle) for remanufactured products and propose the selling of extended warranty policies for buyers. Research limitations/implications: The developed model-driven DSS can assist manufacturers to select and increase the number of components, e.g. to be reused, rebuilt, and recycled for producing a remanufactured product and propose suitable warranty policies for buyers. However, this study focusses only on the evaluation of warranty policies for specific remanufactured products in a DSS, i.e. types of air compressors for production operations in manufacturing industry. Originality/value: This study developed optimisation models to be used in a DSS for proposing the selling of extended warranty of a remanufactured product to improve customer satisfaction and maximise the gained profits for manufacturers. © 2022, Emerald Publishing Limited.",Decision support system; Product remanufacturing; Quality management; Reliability; Warranty,Emerald Publishing,scopus-artificial intelligence,2,Mechanical AI,"optimisation models, decision support system, warranty policies, remanufactured products, profits","The abstract discusses the development of optimisation models for a decision support system intended to improve the selling of extended warranty policies for remanufactured products. This aligns with the Mechanical AI category, which focuses on automating processes to meet customer needs and enhancing marketing strategies through data-driven approaches. The emphasis on improving profits through marketing remanufactured products indicates an automated approach to market analysis and segmentation, which are key aspects of Mechanical AI.",0%,70%,20%,0%,10%,"[2023, 2025)",Decision support,"Este artigo propõe modelos de otimização para avaliar e examinar a venda de políticas de garantia estendida, visando melhorar os lucros na produção e comercialização de produtos remanufaturados. Os modelos são resolvidos numericamente por meio de uma abordagem de programação quadrática e implementados em um sistema de suporte à decisão (DSS). O estudo demonstrou a flexibilidade e utilidade de um DSS orientado por modelos para a gestão de qualidade e garantia, aplicado na avaliação de diferentes configurações (como reutilização, reconstrução e reciclagem) de produtos remanufaturados, além de propor a venda de políticas de garantia estendida para os compradores. O DSS desenvolvido pode ajudar os fabricantes a selecionar e aumentar o número de componentes a serem reutilizados, reconstruídos e reciclados na produção de um produto remanufaturado, propondo políticas de garantia adequadas. No entanto, o estudo se concentra apenas na avaliação de políticas de garantia para produtos remanufaturados específicos, como tipos de compressores de ar na indústria de manufatura. Este estudo desenvolveu modelos de otimização para serem utilizados em um DSS, propondo a venda de garantias estendidas de produtos remanufaturados para melhorar a satisfação do cliente e maximizar os lucros obtidos pelos fabricantes."
Text mining-based four-step framework for smart speaker product improvement and sales planning,Park J.; Yang D.; Kim H.Y.,2023,10.1016/j.jretconser.2022.103186,"The smart speaker market, which is considered an early-stage market, is expected to grow rapidly as smart speakers become a part of daily life. Consequently, manufacturers are trying to dominate the market. To achieve this, they must analyze users' reactions to their products and find insights for product improvement through comparison with competitors. We propose a four-step methodological framework for identifying meaningful opinions from a large number of online user reviews. First, network analysis is conducted to compare differences between brands. Next, through topic modeling, the attributes of speakers that users consider the most crucial are extracted for each brand. Third, sentiment analysis is conducted to examine how users' emotional polarities differ for each attribute. Through this, product improvement and product sales plans can be derived. Finally, in order to clarify the strengths and weaknesses of each brand, brand positioning is conducted and user opinions that have changed along with the evolution of the speaker's generation are analyzed. Our study identified the factors that positively or negatively affect the experience of smart speaker users. In addition, the proposed method is highly useful because it can be used to derive insights from a large amount of user opinion data regardless of the search term. © 2022 Elsevier Ltd",Brand positioning; Decision support; Online review; Sales planning; Smart speaker; Text analysis,Elsevier Ltd,scopus-text mining,17,Thinking AI,"market analysis, user opinions, product improvement, sentiment analysis, brand positioning","The abstract discusses a methodological framework that conducts network analysis, topic modeling, and sentiment analysis to derive insights from user reviews. This indicates a strong focus on market analysis and understanding competitive advantages, which aligns with the definitions and examples under the Thinking AI category.",10%,15%,75%,0%,0%,"[2023, 2025)",Decision support,"O mercado de alto-falantes inteligentes, considerado em estágio inicial, deve crescer rapidamente à medida que esses dispositivos se tornam parte da vida cotidiana. Os fabricantes buscam dominar o mercado analisando as reações dos usuários e encontrando insights para melhorar os produtos em comparação com os concorrentes. Propomos um framework metodológico em quatro etapas para identificar opiniões significativas a partir de um grande número de avaliações de usuários online. Primeiro, é realizada uma análise de rede para comparar as diferenças entre as marcas. Em seguida, através da modelagem de tópicos, são extraídos os atributos que os usuários consideram mais importantes para cada marca. A terceira etapa envolve a análise de sentimentos para examinar como as polaridades emocionais dos usuários diferem para cada atributo. Com isso, podem ser elaborados planos de melhoria de produtos e vendas. Por fim, para esclarecer os pontos fortes e fracos de cada marca, é feita uma análise de posicionamento de marca e as opiniões dos usuários que mudaram com a evolução da geração dos alto-falantes são analisadas. O estudo identificou fatores que afetam positiva ou negativamente a experiência dos usuários de alto-falantes inteligentes. Além disso, o método proposto é altamente útil, pois pode ser utilizado para extrair insights de uma grande quantidade de dados de opiniões de usuários, independentemente do termo de busca."
Information analysis for dynamic sale planning by AI decision support process,Wang F.; Luan Y.; Badawi A.N.; Ayad A.; Abdallah A.F.; Ali M.; Ahmad Z.; Jiang W.,2023,10.1016/j.ipm.2023.103319,"Marketing is all about finding out what your customers want and need. The information is used to create the model and improve the quality of products and services to satisfy customers. There are two major parts to a sale's planning: containing sales tactics and sales strategy. To aid in business decision-making, a data warehouse (DW) for sales collects and organizes relevant and historical data. DW is also a method for combining data from various heterogeneous databases (DB) and other sources of information for analysis. In this paper, Information analysis for dynamic Sale planning by AI Decision support process was done. Particle Swarm Optimization (PSO) and Quantum Particle Swarm Optimization (QPSO) algorithms have been used to find optimal MVs for sale planning since several authors prove that these algorithms are better than other existing algorithms. MVs selection is based on three factors: time running of MVs, area of MVs, and access frequency of MVs by manipulating the selection result using a weighted combination of each factor as needed by the designer. For PSO, the most cost of frequency was 1.924 for View (V) 11, while for QPSO, it was 1.722 for V11. For PSO, the most cost of time was 1.931 for V2, while for QPSO, it was 1.221 for V22. For PSO, the most cost of the area was 1.800 for V17, while for QPSO, it was 1.071 for V17. The results revealed that Quantum Particle Swarm Optimization is much more accurate than Particle Swarm Optimization. © 2023 Elsevier Ltd",Artificial intelligence AI; Database management system; Decision support process; Information analysis; Particle swarm optimization; Sale planning,Elsevier Ltd,scopus-ai,2,Thinking AI,"data warehouse, sales planning, Particle Swarm Optimization, Quantum Particle Swarm Optimization, optimal MVs, market analysis","The abstract discusses the use of AI algorithms, specifically PSO and QPSO, for optimizing sales planning based on various factors. This aligns with the focus on market analysis and targeting, as it involves analyzing data to improve sales strategies and decision-making. The emphasis on data collection and analysis for sales optimization fits well within the Thinking AI category, which focuses on market analysis and strategic decision-making.",0%,20%,80%,0%,0%,"[2023, 2025)",Decision support,"O marketing se concentra em identificar o que os clientes desejam e necessitam, utilizando essas informações para criar modelos e aprimorar a qualidade de produtos e serviços. O planejamento de vendas envolve táticas e estratégias de vendas. Um armazém de dados (DW) para vendas coleta e organiza dados relevantes e históricos, servindo como um método para combinar dados de diferentes bancos de dados e fontes de informação para análise. Este artigo analisa o planejamento dinâmico de vendas por meio de um processo de suporte à decisão baseado em IA. Os algoritmos Particle Swarm Optimization (PSO) e Quantum Particle Swarm Optimization (QPSO) foram utilizados para encontrar variáveis de decisão ótimas para o planejamento de vendas, demonstrando ser superiores a outros algoritmos existentes. A seleção das variáveis de decisão é baseada em três fatores: tempo de execução, área e frequência de acesso, manipulando os resultados com uma combinação ponderada de cada fator conforme necessário. Os resultados mostraram que o QPSO é significativamente mais preciso que o PSO."
Artificial intelligence-based predictions of movie audiences on opening Saturday,An Y.; An J.; Cho S.,2021,10.1016/j.ijforecast.2020.05.005,"Marketing activity by distributors is a significant factor in attracting audiences to theaters before a movie is released. Importantly, audience numbers on opening weekend are highly affected by marketing activity before the release, and these numbers determine how many screens will be allocated to the movie. Therefore, distributors need to predict audience numbers on opening weekend and develop marketing strategies in order to gain a competitive advantage over other films being screened at the same time. However, as distributors make predictions based on their experiences and intuitions, it is difficult to quantify the reliability of predicted values and deliver the correct marketing strategy. In this study, we propose a model that predicts audience numbers on the opening Saturday using market research data obtained through online and offline surveys to help distributors develop better marketing strategies. © 2020 International Institute of Forecasters",Artificial intelligence; Box office; Decision support system; Machine learning; Marketing,Elsevier B.V.,scopus-artificial intelligence,11,Thinking AI,"marketing activity, audience numbers, predictions, marketing strategies, market research data","The abstract discusses how distributors can predict audience numbers for a movie's opening weekend using market research data, which relates to market analysis and competitive advantage, aligning with the Thinking AI category. The focus is on the strategic use of data to inform marketing decisions.",0%,0%,100%,0%,0%,"[2021, 2023)",Decision support,"A atividade de marketing realizada pelos distribuidores é um fator significativo na atração de públicos para os cinemas antes do lançamento de um filme. Os números de público no fim de semana de estreia são fortemente influenciados por essa atividade de marketing, e esses números determinam quantas telas serão alocadas ao filme. Portanto, os distribuidores precisam prever o público no fim de semana de estreia e desenvolver estratégias de marketing para obter uma vantagem competitiva em relação a outros filmes que estão sendo exibidos ao mesmo tempo. No entanto, como as previsões dos distribuidores são baseadas em experiências e intuições, é difícil quantificar a confiabilidade dos valores previstos e entregar a estratégia de marketing correta. Neste estudo, propomos um modelo que prevê o número de espectadores no sábado de abertura utilizando dados de pesquisa de mercado obtidos por meio de pesquisas online e offline, para ajudar os distribuidores a desenvolver melhores estratégias de marketing."
Performance evaluation for competency of bank telemarketing prediction using data mining techniques,Rashid Farooqi M.; Iqbal N.,2019,10.35940/ijrte.A1269.078219,"In today's market there is cut throat competition in the banks and struggling hard to gain competitive advantage over each other. The banking industry has undergone tremendous changes in the way business conducted. They realizes the needs and techniques of data mining which is helpful tool to gather, store, capture data and convert into knowledge. The application of data mining enhances the performance of telemarketing process in banking industry. It also provide an insight how these techniques effectively used in banking industry to make the decision making process easier and productive. This work describes a data mining approach to extract valuable knowledge and information from a bank telemarketing campaign data. At this time, the potential of five data mining methods was explored for forecasting of term deposit subscription. The presentation of these techniques was evaluated on fourteen different classifier parameters. The overall better performance achieved by J48 decision tree which reported 91.2% correctly classified with sensitivity, specificity and lowest error rate of 53.8, 95.9 and 8.8 % respectively. © BEIESP.",Bank telemarketing; Classification; Data mining; Decision support; Direct marketing,Blue Eyes Intelligence Engineering and Sciences Publication,scopus-data mining,10,Mechanical AI,"data mining, telemarketing process, data collection, forecasting, decision making, bank telemarketing campaign","The abstract discusses the use of data mining techniques to improve the telemarketing process in the banking industry, emphasizing the gathering and processing of data to extract valuable knowledge. This aligns with the Mechanical AI category, which focuses on data collection and automated processes. Although there are elements of decision-making and performance evaluation, the primary focus remains on data mining as a tool for data collection and analysis.",0%,70%,30%,0%,0%,"[2019, 2021)",Decision support,"No mercado atual, a competição entre os bancos é intensa, e eles lutam para obter vantagem competitiva. A indústria bancária passou por mudanças significativas na forma como os negócios são conduzidos, reconhecendo a importância das técnicas de mineração de dados como ferramentas úteis para coletar, armazenar e transformar dados em conhecimento. A aplicação da mineração de dados melhora o desempenho do processo de telemarketing na indústria bancária, facilitando a tomada de decisões. Este trabalho descreve uma abordagem de mineração de dados para extrair conhecimento valioso de dados de campanhas de telemarketing bancário, explorando cinco métodos de mineração de dados para prever a adesão a depósitos a prazo. A apresentação dessas técnicas foi avaliada em quatorze parâmetros de classificadores, com o algoritmo J48 apresentando o melhor desempenho, classificando corretamente 91,2% dos casos, com sensibilidade, especificidade e taxa de erro de 53,8%, 95,9% e 8,8%, respectivamente."
